tweet_id, tweet_author,label
'503866345822244864',NewsYouN2Know,Infrastructure and utilities
'503866373961809920',debbyxme,Other relevant information
'503866427322159104',StluciaMirror,Other relevant information
'503866453280317440',rockermom53,Not related or irrelevant
'503866484461170688',1310news,Not related or irrelevant
'503866526676819969',WhatIsNewsToday,Infrastructure and utilities
'503866614161211392',feedsynbot,Other relevant information
'503866635745099776',talktopics,Infrastructure and utilities
'503866707568373760',bingwifel,Other relevant information
'503866815203012608',luismorozcov,Infrastructure and utilities
'503866885629554688',KAMCNews,Infrastructure and utilities
'503866910166253568',marcaross,Infrastructure and utilities
'503866926330679296',News10_CA,Injured or dead people
'503867001794600960',SFranciscoTNews,Infrastructure and utilities
'503867092547141632',LS_Disasters,Infrastructure and utilities
'503867097060225024',Tombenson1,Infrastructure and utilities
'503867402023481345',RommelJGuzman,Injured or dead people
'503867406323056640',janinebucks,Other relevant information
'503867483795619840',BayArea411,Other relevant information
'503867552536489985',RogerSixtyNine,Sympathy and emotional support
'503867580495327232',IndyWorld,Other relevant information
'503867657628962817',Marma0408,Sympathy and emotional support
'503867696455647232',erinpasko,Not related or irrelevant
'503867814705659904',Auriandra,Not related or irrelevant
'503867893038473216',oghoodniga69,Other relevant information
'503867895240073217',rejer1956,Other relevant information
'503867944213184512',CBSThisMorning,Infrastructure and utilities
'503868013762715649',Woldeselassie1,Other relevant information
'503868106041610241',RommelJGuzman,Other relevant information
'503868128103653376',_DetroitNews_,Infrastructure and utilities
'503868153253089280',CBSNews,Other relevant information
'503868161159331840',bobpockrass,Infrastructure and utilities
'503868170290331648',Brynjo,Other relevant information
'503868176086478849',joefryer,Other relevant information
'503868183518797824',SanFranNewz,Infrastructure and utilities
'503868275726376960',AceNewsServices,Other relevant information
'503868704782708737',SamNBCBayArea,Other relevant information
'503868821736681472',ZOLTAR328,Infrastructure and utilities
'503868861427769344',jjamesjoiner,Not related or irrelevant
'503868877185380352',HillbillyTimes,Other relevant information
'503868895691014144',nicoleewayne,Caution and advice
'503868977496752128',Drsantagomez,Other relevant information
'503869044077129728',WebSummitHQ,Other relevant information
'503869050322038784',KennyG1423,Injured or dead people
'503869051161296896',Mellynjess,Other relevant information
'503869162360274945',ThomasLocicero,Other relevant information
'503870722092310528',tvseanb,Infrastructure and utilities
'503870730308972544',igoracho,Other relevant information
'503870731831111680',teapartymobile,Infrastructure and utilities
'503870746134077440',PRWeekUS,Other relevant information
'503870766387953664',bpulsetech,Other relevant information
'503870772213870592',CBSDenver,Infrastructure and utilities
'503870779709460481',ErnestRhykensei,Infrastructure and utilities
'503870846172401664',wbtradio,Infrastructure and utilities
'503870909900685312',News24lHOT,Injured or dead people
'503870913818152960',nicoleewayne,Other relevant information
'503871018448867328',RestoringHomes,Other relevant information
'503871125491699713',nlitenmebabe,Infrastructure and utilities
'503871312536682497',smileyt22,Other relevant information
'503871361488809984',NavyDad0007,Sympathy and emotional support
'503871574731395073',Alvira1972,Not related or irrelevant
'503871631421612034',RealTimeHack,Other relevant information
'503871766653976577',CNNNewsource,Infrastructure and utilities
'503871841740414977',NVEarthquakes,Other relevant information
'503871869532246016',taniguchibob,Infrastructure and utilities
'503871989778763777',MediaTracker10,Other relevant information
'503871994497363968',PBFreePress,Other relevant information
'503872042283048961',IrishEagle,Other relevant information
'503872245820039168',taniguchibob,Injured or dead people
'503872290614833153',kolr10kozl,Other relevant information
'503872457284280320',KRON4WTran,Infrastructure and utilities
'503872460111228929',phalt_,Other relevant information
'503872462572879872',adsensejob,Infrastructure and utilities
'503872506974179328',tianijones,Other relevant information
'503872580957126658',adigitalcarol,Other relevant information
'503872975917965313',DafaKaroYar,Other relevant information
'503872978119962624',toreyvanoot,Other relevant information
'503873045098803200',NoMoreDuds,Injured or dead people
'503874511435870208',News10_CA,Infrastructure and utilities
'503876231935569920',JSolomonCNBC,Infrastructure and utilities
'503876850452795392',WatchCTVNews,Personal updates
'503880239911825409',WTOP,Other relevant information
'503880441821016064',worarapp,Money
'503880621656010752',scsgregtink,Infrastructure and utilities
'503881266220240896',allisoncunny,Other relevant information
'503881740294029312',KellySKennedy,Infrastructure and utilities
'503882088169627649',dm2studios,Injured or dead people
'503884812747567104',tornadodamage,Infrastructure and utilities
'503886618538045441',WTHRcom,Infrastructure and utilities
'503887074442096641',thaiparampil,Infrastructure and utilities
'503888762368049153',JudgmtofParis,Infrastructure and utilities
'503888782756552705',newsman_net,Caution and advice
'503889349046325248',littlefazzie,Infrastructure and utilities
'503890296510226432',scottymacBR,Infrastructure and utilities
'503891402950860800',LeetVids,Infrastructure and utilities
'503892181262684161',lydiaallen26,Not related or irrelevant
'503892296123695104',Ford_Elliot,Injured or dead people
'503893315570257920',StagSchool,Infrastructure and utilities
'503894692845469698',ColoradoSilicon,Infrastructure and utilities
'503894916590608384',MartineKelsey,Infrastructure and utilities
'503894981354864642',SargonStarblade,Infrastructure and utilities
'503895109671219201',WhineCheersWine,Other relevant information
'503895929632464897',GiantsAllNews,Injured or dead people
'503897083418771456',depricenigent,Infrastructure and utilities
'503898115389550593',CNN,Infrastructure and utilities
'503898739715895296',CryptoLoren,Other relevant information
'503898935858315264',allaboutnapa,Infrastructure and utilities
'503899041172684800',xo_Shiho_ox,Infrastructure and utilities
'503899385001177088',tonylongo,Personal updates
'503899476344320000',JayceBaron,Not related or irrelevant
'503899600080474113',droolindog,Infrastructure and utilities
'503899964087742464',helmsinki,Infrastructure and utilities
'503900094295330816',MarkNietoKGO810,Infrastructure and utilities
'503900431836536832',PolliMartins,Infrastructure and utilities
'503900618218831872',ginalimp,Injured or dead people
'503900887946113024',Earl432,Infrastructure and utilities
'503901263587577857',LauraGarciaCann,Infrastructure and utilities
'503901534158348288',CollectedN,Other relevant information
'503902243633233920',WineGirlBlog,Not related or irrelevant
'503902370384715776',ChicagoNewsHeds,Caution and advice
'503903062541352961',ReportSix,Other relevant information
'503903654731341824',News24lHOT,Injured or dead people
'503903685672722432',lmm33,Infrastructure and utilities
'503903766920183808',_Wuasenx3,Injured or dead people
'503904032788721664',thesultrychef,Not related or irrelevant
'503904114418253824',kennetheyoung,Other relevant information
'503904423866019840',davidjones720,Injured or dead people
'503904427204702208',iamjohnnyhooker,Other relevant information
'503904634873065472',nbr1trvler,Other relevant information
'503904704649117696',ABCWorldNews,Other relevant information
'503904714254462977',WarrenForensics,Other relevant information
'503904931695185920',Dm83stag,Other relevant information
'503904994840817664',YourMainBoss,Other relevant information
'503905177754021889',DJSKYFALL69,Caution and advice
'503905239087726592',JackAndCharly,Infrastructure and utilities
'503905342229467136',grandmalynn1234,Infrastructure and utilities
'503905394599944192',MummyPages,Injured or dead people
'504261714947604480',calumismybitch_,Other relevant information
'504262232251695104',zengowebservice,Not related or irrelevant
'504262286081802240',Forum_JDD,Other relevant information
'504262622447796225',TheSamiMamou,Other relevant information
'504263521849606144',ginalimp,Other relevant information
'504264948491776000',emergencyglobal,Other relevant information
'504266643774922754',HarvardEPREP,Infrastructure and utilities
'504266724703608833',SFnewsnow,Other relevant information
'504267062076637187',Robert_Gresko,Infrastructure and utilities
'504267290360418304',RedlandsNews,Infrastructure and utilities
'504267598448431104',TheSamiMamou,Other relevant information
'504268112531689473',DanielMorain,Other relevant information
'504268191376637953',francis_kfnx,Other relevant information
'504269009399717889',staceysmiz,Infrastructure and utilities
'504269111984021504',IFAwebnews,Money
'504269382974185472',betinafinley,Infrastructure and utilities
'504269898931908608',ten40tax,Personal updates
'504269942254886912',HillbillyTimes,Other relevant information
'504270975513677824',myfeldman,Not related or irrelevant
'504271130015059968',EarthquakeHQ,Other relevant information
'504272394903515137',JayMejia1,Other relevant information
'504272837927264256',BattagliniCo,Infrastructure and utilities
'504274968352686081',csmonitor,Other relevant information
'504276332574814208',LifeNChopstix,Other relevant information
'504276822565990400',EssentiallyWine,Infrastructure and utilities
'504277259067203584',LifeNChopstix,Other relevant information
