label,tweet_id
injured_or_dead_people,'451228412083204096'
donation_needs_or_offers_or_volunteering_services,'451228413211459584'
sympathy_and_emotional_support,'451228413219860481'
not_related_or_irrelevant,'451228413291167744'
other_useful_information,'451228413576364032'
donation_needs_or_offers_or_volunteering_services,'451228414507503616'
donation_needs_or_offers_or_volunteering_services,'451228414955892736'
donation_needs_or_offers_or_volunteering_services,'451228416285884416'
injured_or_dead_people,'451228416424292352'
sympathy_and_emotional_support,'451228417644851200'
caution_and_advice,'451228417711558658'
injured_or_dead_people,'451228418026516480'
injured_or_dead_people,'451228418072657920'
injured_or_dead_people,'451228418424983553'
donation_needs_or_offers_or_volunteering_services,'451228418915328000'
injured_or_dead_people,'451228419049914368'
injured_or_dead_people,'451228419238264832'
infrastructure_and_utilities_damage,'451228419238293505'
injured_or_dead_people,'451228419494514688'
donation_needs_or_offers_or_volunteering_services,'451228419519709184'
infrastructure_and_utilities_damage,'451228420153028608'
injured_or_dead_people,'451228420765392896'
donation_needs_or_offers_or_volunteering_services,'451228420928593922'
injured_or_dead_people,'451228420937375744'
other_useful_information,'451228421335814144'
donation_needs_or_offers_or_volunteering_services,'451228421381558272'
other_useful_information,'451228422023692288'
sympathy_and_emotional_support,'451228422678020096'
injured_or_dead_people,'451228422912880640'
not_related_or_irrelevant,'451228422950232064'
injured_or_dead_people,'451228423130587136'
donation_needs_or_offers_or_volunteering_services,'451228423294185472'
not_related_or_irrelevant,'451228423390633984'
donation_needs_or_offers_or_volunteering_services,'451228423512281088'
injured_or_dead_people,'451228423537438722'
not_related_or_irrelevant,'451228423646478336'
donation_needs_or_offers_or_volunteering_services,'451228424200544256'
sympathy_and_emotional_support,'451228424741220352'
not_related_or_irrelevant,'451228425010040832'
injured_or_dead_people,'451228425089724416'
injured_or_dead_people,'451228425294856192'
injured_or_dead_people,'451228425366171650'
donation_needs_or_offers_or_volunteering_services,'451228425609424897'
caution_and_advice,'451228425949569024'
donation_needs_or_offers_or_volunteering_services,'451228426322849792'
not_related_or_irrelevant,'451228426712526848'
donation_needs_or_offers_or_volunteering_services,'451228427593322496'
injured_or_dead_people,'451228428222877696'
injured_or_dead_people,'451228428738781184'
injured_or_dead_people,'451228428776521728'
sympathy_and_emotional_support,'451228429245886464'
injured_or_dead_people,'451228429367910401'
injured_or_dead_people,'451228430512562177'
infrastructure_and_utilities_damage,'451228431074992128'
sympathy_and_emotional_support,'451228431624466432'
other_useful_information,'451228432408788993'
injured_or_dead_people,'451228432446545920'
donation_needs_or_offers_or_volunteering_services,'451228433029148672'
other_useful_information,'451228433096261632'
donation_needs_or_offers_or_volunteering_services,'451228433163771904'
donation_needs_or_offers_or_volunteering_services,'451228433285005312'
injured_or_dead_people,'451228433717014528'
donation_needs_or_offers_or_volunteering_services,'451228433755176960'
injured_or_dead_people,'451228433776144384'
other_useful_information,'451228434505957377'
infrastructure_and_utilities_damage,'451228434690109440'
injured_or_dead_people,'451228437722980352'
donation_needs_or_offers_or_volunteering_services,'451228437730955264'
donation_needs_or_offers_or_volunteering_services,'451228439304208384'
injured_or_dead_people,'451228441413955584'
injured_or_dead_people,'451228441661042688'
donation_needs_or_offers_or_volunteering_services,'451228442059476992'
injured_or_dead_people,'451228443271643137'
donation_needs_or_offers_or_volunteering_services,'451228443456581633'
injured_or_dead_people,'451228443586596864'
donation_needs_or_offers_or_volunteering_services,'451228443678482432'
donation_needs_or_offers_or_volunteering_services,'451228444505161729'
sympathy_and_emotional_support,'451228445390159872'
injured_or_dead_people,'451228446673633280'
donation_needs_or_offers_or_volunteering_services,'451228446887129088'
donation_needs_or_offers_or_volunteering_services,'451228447051112449'
donation_needs_or_offers_or_volunteering_services,'451228447101448192'
not_related_or_irrelevant,'451228447285583872'
donation_needs_or_offers_or_volunteering_services,'451228447667286016'
sympathy_and_emotional_support,'451228447961272320'
injured_or_dead_people,'451228448590016512'
donation_needs_or_offers_or_volunteering_services,'451228450213224448'
missing_trapped_or_found_people,'451228450528178176'
sympathy_and_emotional_support,'451228450863337472'
injured_or_dead_people,'451228451027316736'
injured_or_dead_people,'451228451060461568'
injured_or_dead_people,'451228451190870016'
not_related_or_irrelevant,'451228451920285696'
donation_needs_or_offers_or_volunteering_services,'451228451949641729'
donation_needs_or_offers_or_volunteering_services,'451228452167745536'
