label,tweet_id
other_useful_information,'575735721744449536'
infrastructure_and_utilities_damage,'575736033058406400'
injured_or_dead_people,'575736037986578433'
other_useful_information,'575736076087644160'
other_useful_information,'575736131817369601'
infrastructure_and_utilities_damage,'575736147046834176'
not_related_or_irrelevant,'575736273350098944'
other_useful_information,'575736292618563584'
not_related_or_irrelevant,'575736345332600832'
donation_needs_or_offers_or_volunteering_services,'575736452413136897'
injured_or_dead_people,'575736502006603776'
injured_or_dead_people,'575736505798361088'
infrastructure_and_utilities_damage,'575736544465580033'
donation_needs_or_offers_or_volunteering_services,'575736623708532736'
other_useful_information,'575736634190270465'
not_related_or_irrelevant,'575736643191246848'
other_useful_information,'575736693820514304'
other_useful_information,'575736712892145665'
not_related_or_irrelevant,'575736745372811265'
caution_and_advice,'575736803677761536'
not_related_or_irrelevant,'575736838293426176'
infrastructure_and_utilities_damage,'575736933755805696'
other_useful_information,'575736980966785024'
donation_needs_or_offers_or_volunteering_services,'575737015599259648'
other_useful_information,'575737024310697984'
other_useful_information,'575737043071930368'
other_useful_information,'575737048994217984'
not_related_or_irrelevant,'575737189646090240'
caution_and_advice,'575737269291716609'
other_useful_information,'575737292913963008'
not_related_or_irrelevant,'575737350430420992'
sympathy_and_emotional_support,'575737382969962496'
other_useful_information,'575737419057618944'
other_useful_information,'575737437428707328'
not_related_or_irrelevant,'575737616244543488'
other_useful_information,'575737639497682944'
not_related_or_irrelevant,'575737656388251649'
sympathy_and_emotional_support,'575737691179868160'
infrastructure_and_utilities_damage,'575737693369294848'
other_useful_information,'575737709605613569'
injured_or_dead_people,'575737716765159424'
caution_and_advice,'575737721320243200'
donation_needs_or_offers_or_volunteering_services,'575737826702135297'
infrastructure_and_utilities_damage,'575737841344495618'
donation_needs_or_offers_or_volunteering_services,'575737842325929984'
donation_needs_or_offers_or_volunteering_services,'575737866698911745'
not_related_or_irrelevant,'575737885971742720'
donation_needs_or_offers_or_volunteering_services,'575737898231693313'
not_related_or_irrelevant,'575737966582108161'
injured_or_dead_people,'575738022047649793'
donation_needs_or_offers_or_volunteering_services,'575738025180725248'
other_useful_information,'575738117346435072'
other_useful_information,'575738169120829440'
other_useful_information,'575738183197069312'
caution_and_advice,'575738223407685632'
injured_or_dead_people,'575738227820249088'
not_related_or_irrelevant,'575738277786951681'
donation_needs_or_offers_or_volunteering_services,'575738314856120320'
other_useful_information,'575738326159867905'
infrastructure_and_utilities_damage,'575738350671257600'
infrastructure_and_utilities_damage,'575738368341897216'
caution_and_advice,'575738463200350208'
not_related_or_irrelevant,'575738467226927104'
other_useful_information,'575738509140480000'
not_related_or_irrelevant,'575738527251439617'
infrastructure_and_utilities_damage,'575738572931751938'
caution_and_advice,'575738589499252736'
caution_and_advice,'575738596273098754'
not_related_or_irrelevant,'575738640577486848'
not_related_or_irrelevant,'575738655932702720'
caution_and_advice,'575738673792077824'
caution_and_advice,'575738693471834112'
sympathy_and_emotional_support,'575738734802432001'
donation_needs_or_offers_or_volunteering_services,'575738828331188224'
other_useful_information,'575738832030560256'
sympathy_and_emotional_support,'575738837051174913'
donation_needs_or_offers_or_volunteering_services,'575738863659925504'
other_useful_information,'575738871205363712'
infrastructure_and_utilities_damage,'575738883448664064'
donation_needs_or_offers_or_volunteering_services,'575738910094962688'
donation_needs_or_offers_or_volunteering_services,'575738966130954240'
other_useful_information,'575738991795900416'
donation_needs_or_offers_or_volunteering_services,'575739015372095488'
not_related_or_irrelevant,'575739020245774336'
other_useful_information,'575739020946227201'
not_related_or_irrelevant,'575739022514896896'
sympathy_and_emotional_support,'575739022988828673'
donation_needs_or_offers_or_volunteering_services,'575739029775233025'
donation_needs_or_offers_or_volunteering_services,'575739031738146818'
sympathy_and_emotional_support,'575739033394900992'
donation_needs_or_offers_or_volunteering_services,'575739034749685760'
