label,tweet_id
treatment,'497086296385675264'
not_related_or_irrelevant,'497086297475805184'
other_useful_information,'497086300781309952'
affected_people,'497086305671864321'
other_useful_information,'497086306443202560'
other_useful_information,'497086307047571456'
other_useful_information,'497086309765509120'
deaths_reports,'497086311321591811'
treatment,'497086313766871043'
other_useful_information,'497086316769583104'
disease_signs_or_symptoms,'497086318724542464'
disease_transmission,'497086319307542530'
affected_people,'497086319974416384'
prevention,'497086321480200193'
disease_signs_or_symptoms,'497086322088349696'
other_useful_information,'497086322851323905'
prevention,'497086323099205633'
other_useful_information,'497086325355741184'
other_useful_information,'497086325682487297'
treatment,'497086326098128896'
other_useful_information,'497086326773383168'
treatment,'497086331336818688'
other_useful_information,'497086331718492160'
disease_transmission,'497086332779626497'
prevention,'497086333521633280'
other_useful_information,'497086334385672194'
disease_signs_or_symptoms,'497086335715655680'
prevention,'497086337951232000'
disease_signs_or_symptoms,'497086338026336256'
disease_signs_or_symptoms,'497086338135777280'
disease_signs_or_symptoms,'497086338957856768'
treatment,'497086340534898688'
treatment,'497086341587681280'
not_related_or_irrelevant,'497086342036467714'
not_related_or_irrelevant,'497086342455513088'
other_useful_information,'497086344049741824'
prevention,'497086344997257216'
other_useful_information,'497086345165029376'
disease_signs_or_symptoms,'497086346859905024'
other_useful_information,'497086347929452544'
disease_transmission,'497086347979395072'
affected_people,'497086348000763904'
not_related_or_irrelevant,'497086349267066880'
disease_signs_or_symptoms,'497086350534127616'
affected_people,'497086352190484480'
prevention,'497086352207265792'
disease_signs_or_symptoms,'497086353541464066'
disease_signs_or_symptoms,'497086354186989569'
disease_transmission,'497086354711666688'
prevention,'497086354887434240'
prevention,'497086358293610498'
deaths_reports,'497086359387906048'
other_useful_information,'497086359564079104'
deaths_reports,'497086360222969856'
disease_signs_or_symptoms,'497086364769607680'
affected_people,'497086365621026816'
disease_signs_or_symptoms,'497086366396973056'
deaths_reports,'497086367948898304'
not_related_or_irrelevant,'497086368003391489'
disease_signs_or_symptoms,'497086368032755712'
disease_transmission,'497086369685311490'
treatment,'497086371073232896'
disease_signs_or_symptoms,'497086371774103552'
other_useful_information,'497086371786678272'
affected_people,'497086372457750528'
affected_people,'497086373141434368'
disease_transmission,'497086373401079809'
disease_signs_or_symptoms,'497086373799927809'
prevention,'497086374118690818'
disease_signs_or_symptoms,'497086379743272960'
treatment,'497086379898437632'
affected_people,'497086381647462401'
not_related_or_irrelevant,'497086382460788736'
prevention,'497086383962750976'
disease_signs_or_symptoms,'497086384713515008'
prevention,'497086386252820480'
not_related_or_irrelevant,'497086386265006080'
treatment,'497086392141643776'
affected_people,'497086394859524096'
not_related_or_irrelevant,'497086397837500417'
not_related_or_irrelevant,'497086398647009280'
affected_people,'497086398865113088'
disease_signs_or_symptoms,'497086401301975040'
other_useful_information,'497086402215960576'
disease_transmission,'497086402954539008'
other_useful_information,'497086404602912768'
other_useful_information,'497086405139787776'
affected_people,'497086405865373696'
treatment,'497086407463436289'
prevention,'497086408725897216'
other_useful_information,'497086409204051968'
prevention,'497086409606320128'
other_useful_information,'497086409728327680'
treatment,'497086410734592000'
other_useful_information,'497086411280252928'
disease_signs_or_symptoms,'497086412182011904'
