choose_one_category,tweet_id
injured_or_dead_people,'498497663609085955'
injured_or_dead_people,'498497681036025856'
injured_or_dead_people,'498497696949235712'
injured_or_dead_people,'498497699659137024'
injured_or_dead_people,'498497714183626754'
not_related_or_irrelevant,'498497723600211968'
injured_or_dead_people,'498497744609488896'
injured_or_dead_people,'498497752012451840'
injured_or_dead_people,'498497752574472192'
injured_or_dead_people,'498497760543653889'
injured_or_dead_people,'498497771310448640'
injured_or_dead_people,'498497771918614528'
injured_or_dead_people,'498497779606781952'
injured_or_dead_people,'498497788519657472'
injured_or_dead_people,'498497807645290498'
injured_or_dead_people,'498497811575369728'
other_useful_information,'498497823802159104'
injured_or_dead_people,'498497825807015937'
injured_or_dead_people,'498497828906213377'
other_useful_information,'498497830991179777'
injured_or_dead_people,'498497845067259905'
other_useful_information,'498497845880963072'
injured_or_dead_people,'498497848196218880'
injured_or_dead_people,'498497852796973056'
injured_or_dead_people,'498497854626078722'
injured_or_dead_people,'498497857981145088'
injured_or_dead_people,'498497864885338112'
injured_or_dead_people,'498497878609125376'
displaced_people_and_evacuations,'498497890835505153'
injured_or_dead_people,'498497893415018497'
injured_or_dead_people,'498497910216990720'
injured_or_dead_people,'498497916127154176'
other_useful_information,'498497946342543360'
injured_or_dead_people,'498497954681192448'
injured_or_dead_people,'498497964202274818'
injured_or_dead_people,'498497964461916161'
injured_or_dead_people,'498497974960275456'
donation_needs_or_offers_or_volunteering_services,'498497977561133056'
injured_or_dead_people,'498497994178572289'
injured_or_dead_people,'498497995214573568'
injured_or_dead_people,'498498004119474176'
injured_or_dead_people,'498498004396290049'
injured_or_dead_people,'498498042157608961'
injured_or_dead_people,'498498056669896704'
injured_or_dead_people,'498498066258079744'
injured_or_dead_people,'498498079721799680'
other_useful_information,'498498102870147072'
injured_or_dead_people,'498498108616351744'
injured_or_dead_people,'498498119097937920'
injured_or_dead_people,'498498124784992256'
injured_or_dead_people,'498498134096773121'
injured_or_dead_people,'498498141985841152'
injured_or_dead_people,'498498142774382592'
donation_needs_or_offers_or_volunteering_services,'498498145563582464'
injured_or_dead_people,'498498158788616192'
injured_or_dead_people,'498498179026141184'
injured_or_dead_people,'498498206314270721'
injured_or_dead_people,'498498228825104385'
displaced_people_and_evacuations,'498498232784146433'
injured_or_dead_people,'498498241239871488'
other_useful_information,'498498253176852480'
not_related_or_irrelevant,'498498260395634688'
other_useful_information,'498498267723083776'
injured_or_dead_people,'498498307400794113'
injured_or_dead_people,'498498319514361857'
injured_or_dead_people,'498498333791764481'
other_useful_information,'498498340095393793'
other_useful_information,'498498349180268544'
injured_or_dead_people,'498498358122905601'
injured_or_dead_people,'498498364246622208'
other_useful_information,'498498367488413696'
injured_or_dead_people,'498498396165259264'
injured_or_dead_people,'498498400330203137'
injured_or_dead_people,'498498460660678657'
injured_or_dead_people,'498498483712581632'
injured_or_dead_people,'498498493569187840'
infrastructure_and_utilities_damage,'498498502855376896'
injured_or_dead_people,'498498509285634048'
injured_or_dead_people,'498498517812269056'
injured_or_dead_people,'498498541312958464'
caution_and_advice,'498498576092127233'
injured_or_dead_people,'498498589711032321'
not_related_or_irrelevant,'498498610909417472'
