tweet_id, tweet_author,label
'580171998996889600',LebredoM,Physical landslide
'580175786914762752',teleSURtv,Physical landslide
'580176906684772352',conacoms,Physical landslide
'580177846724771840',news24hecu,Physical landslide
'580180065687855105',ElPaisComEc,Physical landslide
'580182009760251904',ismalosofo,Physical landslide
'580184398223421440',v3zla,Physical landslide
'580189845106139137',Albert0Pelaez,Not physical landslide
'580190370375471104',alcalorpolitico,Physical landslide
'580192649036107776',teleSURtv,Physical landslide
'580193980115087360',UltimaHoraSV,Physical landslide
'580195241388597249',miguelus,Physical landslide
'580196338173939712',AlcaldiaDuran,Physical landslide
'580196636284047360',riveraguillermo,Physical landslide
'580202972816261120',santib06,Physical landslide
'580206153352790016',EzequielZalgado,Physical landslide
'580213477261885441',AaronCollingwo,Physical landslide
'580214448591368192',teleSURtv,Physical landslide
'580217485456248833',narinoinfo,Physical landslide
'580224974776061952',MissCarminha,Physical landslide
'580226908996124672',Poder_Publico,Physical landslide
'580231018440982528',elblog,Physical landslide
'580235094222311424',ChavesNivia,Physical landslide
'580237505540321281',rgarciadeandres,Not physical landslide
'580238842353094656',JoserMunguia,Physical landslide
'580244647349501953',teleSURtv,Physical landslide
'580248015677628416',NancySolorsano,Not physical landslide
'580251206565662720',oscarmanuel310,Physical landslide
'580259883976556544',tiempoymomento,Not physical landslide
'580274854416531456',teleSURtv,Physical landslide
'580280938954952704',LalieFray,Physical landslide
'580291870691049472',NavadijosCity,Not physical landslide
'580295517059571712',molinacanary,Not physical landslide
'580306685459357697',pepe_casanova,Not physical landslide
'580316444656812034',porterojlp,Not physical landslide
'580321740548624386',sierranevadaeee,Not physical landslide
'580324501558304769',ToribioElTibio,Not physical landslide
'580325042468339712',hoizan,Physical landslide
'580325781752160256',RTVEaragon,Physical landslide
'580333451376721920',Hsanchez1470,Physical landslide
'580338452576780289',DuranGry,Physical landslide
'580343702603845632',numeral767,Physical landslide
'580346141981691904',CaracolRadio,Physical landslide
'580348594491924481',ImaginateMas,Not physical landslide
'580348639643590656',ivanxil,Physical landslide
'580350299149324288',newstalk_LL,Physical landslide
'580355902957494272',elguayatunoinfo,Physical landslide
'580358381057249280',barnecheinos,Physical landslide
'580365450036531202',teleSURtv,Physical landslide
'580365718589431808',AntonioNeglia,Physical landslide
'580369454506381313',Noticias_Co,Physical landslide
'580378401602670592',tiempojujuyok,Not physical landslide
'580378975366733824',numeral767,Physical landslide
'580381850104889344',EsperanzaRicoL,Physical landslide
'580388267645865984',diariouno,Physical landslide
'580391420990717952',171Tachira,Physical landslide
'580393611675738114',laciudadtvd,Physical landslide
'580397380517928960',WCT_1998,Physical landslide
'580397514626596864',TransitoPolicia,Physical landslide
'580397555315523584',CaraDeSilla,Not physical landslide
'580397787256393730',nuevaya,Physical landslide
'580406805039357952',mariaalarcon79,Physical landslide
'580409475724627970',FlorYallep,Physical landslide
'580413185699766272',DestinoSeguro01,Physical landslide
'580416305880285184',Citytv,Physical landslide
'580419451931213825',el_pitazo,Physical landslide
'580426223660175360',cegumucio,Not physical landslide
'580430028716027904',oonot_venezuela,Physical landslide
'580431845948526593',crc_abaDuran,Physical landslide
'580436595335131137',ColombiaNotici4,Physical landslide
'580439042128379904',diariouno,Physical landslide
'580440792424157184',rne_172,Physical landslide
'580535049684127745',Tito5745,Not physical landslide
'580536207534383104',videosteleSUR,Physical landslide
'580537577532473344',Ecu911Babahoyo,Physical landslide
'580538800872505345',melanieagustoni,Not physical landslide
'580551798248865792',rmonascal,Not physical landslide
'580552519279124480',argennew,Physical landslide
'580561860442877954',vivoplaynet,Physical landslide
'580562772146188288',COEQuito,Physical landslide
'580565245795672064',pfcontrerasv,Physical landslide
'580569476686581760',Fte_Informativo,Physical landslide
'580572172487364609',Olimpista__,Not physical landslide
'580573590703181825',Lucio_Pereyra,Not physical landslide
'580579892250714112',jhsbernal,Not physical landslide
'580580393402966016',lorena_olmos,Physical landslide
'580580461170282496',SANJOSEFMCL,Physical landslide
'580586495813283841',JoseAntonio_MX,Physical landslide
'580596802912686080',Poder_Publico,Physical landslide
'580598825695465472',GUZMANCIUDADANO,Physical landslide
'580606733703249920',MundoFOXinforma,Physical landslide
'580610852543447041',JuanBenitoT,Not physical landslide
'580633419958325248',alessabriseeidi,Physical landslide
'580891441750286336',24HorasTV,Physical landslide
'580902949569896448',elsoldeiquique,Physical landslide
'580905440579575808',25RocioReta25,Not physical landslide
'580909625945518080',wilinterianoq,Not physical landslide
'580910524793245696',PragaBooking,Not physical landslide
'580918203984957440',evmajiflo,Physical landslide
'580919604400226304',narinoinfo,Physical landslide
'580920451804823552',JoseJRambert,Physical landslide
'580921045948895232',WRadioec,Physical landslide
'580927517671993344',Ricardoarss,Not physical landslide
'580935599676383232',ECU911Ambato,Physical landslide
'580940913582698497',ivochang,Not physical landslide
'580952185040596992',Xinhua9,Physical landslide
'580964556672921601',_Sebastra,Not physical landslide
'580965817380134912',cquintar,Physical landslide
'580970927871033344',ElDeCreativo,Not physical landslide
'580979794768044034',MayraMercau99,Physical landslide
'580988709119496193',saabajuarez,Not physical landslide
'581000301496307712',unraticode,Not physical landslide
'581002384299556864',Aftefuld1,Physical landslide
'581002453660782593',websierranevada,Not physical landslide
'582754052276113408',noticiAmerica,Physical landslide
'582766557169745920',puntoporpuntomx,Physical landslide
'582793881307099136',AlvaroSamani,Physical landslide
'582820202036985856',linaresdemora,Physical landslide
'582845634069204992',TextosSinVida,Physical landslide
