tweet_id, tweet_author,label
'445125893170552833',gmili,Yes
'445126091514990592',worldofleedham,Yes
'445126509305405440',santhamurthi4,Yes
'445126719402680320',VeeGovender,Yes
'445127796466393088',GichohiC,No
'445127884424740865',Jong79323876,No
'445128066054909952',wedointhis,No
'445128068860895232',shukla_gaurav,No
'445232027499896833',yeenali,No
'445232063080173568',framming,No
'445232110345781248',Miss_Mizery,No
'445232111516405760',Martin_Veart,No
'445232145414373376',itzmeenu16,No
'445232220404736001',jagd16,No
'445232231364448256',agona33,No
'445232757225295872',MeganJGibson,Personal
'445233013765705728',PeteOnTheA419,Informative
'445233019721637888',alancostauk,Personal
'445233028135002112',kimbarnesauthor,Personal
'445233117972799489',bilal_firefly,Praying
'445233315352547329',ana_yana7,Praying
'445233560220217344',Happiestmom2,Informative
'445257606521950209',CNNBreakingNess,No
'445257653649154049',Blogliterati,No
'445257739292254208',bhavnadedhia,No
'445257821915865088',vidushi_tando,No
'445258044860289024',WendyJGilbert,No
'445258384627863552',GuttuG,No
'445258417700372481',webjac,No
'445258528987807744',IamAndi_Mtsewu,No
'445258542967422977',chuchyalbornoz,No
'445258677377695744',Ghazale63,No
'445258742771511296',CNNBreakingNess,No
'445258811893645312',_AndreaUrbanFox,Yes
'445258815106080768',HakimMuhd99,No
'445258858743619584',lrozen,Yes
'445259011823136768',Breaking911,No
'445259119734566912',persiekabhai,No
'445259172221685760',SudhirPuthran,No
'445259180543184896',RohitBJP,No
'445259452954857472',denisedwheeler,Yes
'445259595649646592',vasudevg,Yes
'445259631531937792',LianaJane,No
'445259730798542848',YouBoomCache,No
'445259979285876737',dal0028751,No
'445260035162382336',ST_Cyclone,No
'445260051310075904',TheNewOcean,No
'445260099473645568',zwipm,No
'445260103156264960',Lauraf_17,No
'445260234181718016',DathuRulz,No
'445260260102922240',zippowashani,Yes
'445260274753609731',Rezwana_,No
'445260367951040514',TopRT_MY,No
'445260686298316800',SteveMartinH,No
'445260685782839296',YouBoomCache,No
'445260963743150080',PatDollard,No
'445260990150479872',DathuRulz,No
'445261019267760129',JenishG13,No
'445261116038742017',TKombo,No
'445261181347835904',NewIndianXpress,No
'445261291100585984',virvikram,No
'445261535623925761',invokeanand,No
'445261698556235776',HaiderAkhtar1,No
'445261884858433536',alpariente,No
'445261963765886977',Rishi_Muni,No
'445261969193304064',angrymofo,No
'445262125070422016',B4NConservative,No
'445262353240948736',Reckonhaus,No
'445262354427564033',Weeklyeditor,No
'445262369313542144',PixelBrowser34,No
'445262404361142272',malicemagic,No
'445264474900295680',ExaltB2,Yes
'445265005886590977',blackanwhitedog,Yes
'445265855211782145',yaslizah,Yes
'445268221542010880',Anon_Word,Yes
'445268270376288256',sharm629,Yes
'445269155327913984',denisedwheeler,Yes
'445269662956146688',SundeepKataria,Yes
'445865527110795264',World_News_1CNN,No
'445887808964927488',4bitNEWS,No
'445912109340057601',JacobWolinsky,No
'446010251964608513',EzzamAliKhan,No
'446076696736071680',physicsforums,No
'446177096948125696',The_Mole,No
'446212285183176704',2Roseta,Yes
'446249785519915008',maurmack,No
'453030883075690496',jeffrey_bangkok,No
'459113539936862209',ChiaraZaffino,Informative
'459116793273921538',Atantahu_01,Praying
'459199896323510272',andynroid,No
'459201976400883712',rickshaw1128,No
'473379271755300864',ajiyusop,Praying
'473381420400795648',Nuruliman_280,Praying
'473415229951332353',BetaKhayalan,Personal
'473424477984784385',saifulapek,Praying
'473425528955752449',farishafii,Praying
'473430246755037184',alepMF18,Praying
'473430634258776065',joel_edwards2,Personal
'473435889071161346',fahmyizzairie,Personal
'473440765255766016',MohdAdibKhalil,Praying
'473442966582067200',LGHamiltonUSA,Personal
'473443685997084672',MunawwarMihat,Praying
'473451385363501056',WitFP,Personal
'473452270500061184',ayunieleena,Praying
'473454349105242112',DanielTMooers3,Personal
'474059577772617729',iqblzbr,Praying
'474078354937622528',amierqadri,Praying
'474078476459208704',JulieJalaluddin,Praying
'474094092717015040',amirkoyo,Praying
'474094241635762176',amirkoyo,Praying
'474108540362428416',diniedinoo,Praying
'474112987838820353',skylarisfalling,Personal
'474113722294616064',PakcikTorap,Praying
'474117578101493760',TheRealEdDawson,Personal
'474156553126178816',TelmoDiehl,Informative
'474161705266999296',PWainD,Informative
'474164059949264896',mcjay_ejang,Praying
'474164459812818945',MONTEMACHUCARLO,Praying
'474165598365040641',MazNisa,Praying
'474168552585322497',mirzanzahari,Praying
'474170721107595264',omabha,Informative
'474170820428713984',muhammadfithry,Praying
'474171575021744128',theblogservices,Informative
'474173720563425280',twt_Tesmal,Praying
'474174910462713856',Dogs_Ears_Up,Personal
'474175488634531840',nativekittens,Personal
'474175914482216960',Heart_KL,Personal
'474176288924925952',WitFP,Informative
'476511152080293888',omabha,Informative
'476512099338702848',diyanahmuis,Personal
'476534288049905664',cafenetamerica,Informative
'476548892423503874',Newsium,Personal
'476550081026351104',cameliacamy7,Personal
'476609289822302208',Newsium,Personal
