label,tweet_id
other_useful_information,'460396243022118912'
affected_people,'460396258717233155'
disease_signs_or_symptoms,'460396304519024640'
affected_people,'460396339978072064'
other_useful_information,'460396396534071296'
prevention,'460396601010585600'
disease_transmission,'460397076900487168'
other_useful_information,'460397492329521152'
affected_people,'460397584126083072'
disease_signs_or_symptoms,'460397759087247360'
prevention,'460397940897378304'
disease_signs_or_symptoms,'460397967103754240'
disease_signs_or_symptoms,'460398004596244482'
other_useful_information,'460398064923344896'
other_useful_information,'460398096309309440'
other_useful_information,'460398146380902400'
disease_signs_or_symptoms,'460398200315080704'
disease_signs_or_symptoms,'460398268070244352'
disease_transmission,'460398364228874240'
other_useful_information,'460398400970575872'
treatment,'460398429802594304'
disease_signs_or_symptoms,'460398461972541440'
other_useful_information,'460398492465119232'
disease_signs_or_symptoms,'460398552372752384'
disease_signs_or_symptoms,'460398555329331200'
affected_people,'460398592939659264'
disease_transmission,'460398876827320320'
disease_signs_or_symptoms,'460399197699981312'
other_useful_information,'460399260291186690'
other_useful_information,'460399448871665665'
affected_people,'460399569051062272'
affected_people,'460399646729601024'
other_useful_information,'460399751477743617'
other_useful_information,'460399795212140544'
other_useful_information,'460400017107214336'
affected_people,'460400130273730561'
prevention,'460400471992070144'
affected_people,'460400481089515520'
disease_transmission,'460400656780513280'
affected_people,'460400702985347072'
other_useful_information,'460400710874431489'
affected_people,'460400882518347776'
affected_people,'460400944769806337'
affected_people,'460400959785418752'
other_useful_information,'460401189780463616'
prevention,'460401255584919555'
disease_signs_or_symptoms,'460401451341451264'
affected_people,'460401830573256704'
affected_people,'460401843927937024'
other_useful_information,'460401993606234112'
not_related_or_irrelevant,'460402577495318528'
prevention,'460402651277295616'
affected_people,'460402945717456896'
affected_people,'460403081528635393'
disease_signs_or_symptoms,'460403121723043841'
prevention,'460403550799945728'
other_useful_information,'460403706295377920'
disease_transmission,'460403787987816449'
prevention,'460403950689456128'
affected_people,'460404012022771713'
affected_people,'460404072126750720'
other_useful_information,'460404194269495296'
affected_people,'460404220437344257'
affected_people,'460404530157719552'
other_useful_information,'460404886882885632'
affected_people,'460404961533497344'
prevention,'460404961960935425'
disease_signs_or_symptoms,'460404981527355393'
other_useful_information,'460405480834080769'
affected_people,'460405586031816704'
disease_signs_or_symptoms,'460405588196093952'
affected_people,'460405737190346752'
affected_people,'460405815367589888'
treatment,'460405862138675200'
other_useful_information,'460406016640049152'
affected_people,'460406059845156864'
affected_people,'460406086181584896'
other_useful_information,'460406087980556288'
other_useful_information,'460406429867057152'
other_useful_information,'460406475308142592'
affected_people,'460406506786394112'
other_useful_information,'460406562004406272'
affected_people,'460406583823171584'
disease_transmission,'460406612625485824'
disease_transmission,'460406652836274176'
affected_people,'460406798349250560'
affected_people,'460406831647850496'
other_useful_information,'460406843396071424'
other_useful_information,'460406925109510144'
other_useful_information,'460406930742063107'
other_useful_information,'460406992939810816'
other_useful_information,'460407011960561665'
treatment,'460407043778969600'
other_useful_information,'460407131678994432'
other_useful_information,'460407134266875904'
affected_people,'460407666964455424'
other_useful_information,'460407670915076098'
disease_transmission,'460407917741486082'
other_useful_information,'460408019411812353'
affected_people,'460408286014341120'
affected_people,'460408321304829953'
other_useful_information,'460408412476801024'
other_useful_information,'460408458357915650'
other_useful_information,'460408657851580416'
affected_people,'460408681822437376'
prevention,'460408897917181952'
affected_people,'460408909317304320'
affected_people,'460408923791843328'
affected_people,'460408961028456448'
disease_transmission,'460409204051025920'
affected_people,'460409346590248960'
disease_transmission,'460409457361428481'
disease_transmission,'460409768260423681'
other_useful_information,'460409857313492992'
affected_people,'460410002021154816'
affected_people,'460410135593353217'
other_useful_information,'460410172834213888'
disease_transmission,'460410242791378944'
disease_transmission,'460410307178168320'
affected_people,'460410333753249792'
other_useful_information,'460410358923264000'
prevention,'460410661374558208'
affected_people,'460410703774769153'
disease_signs_or_symptoms,'460410970989690880'
other_useful_information,'460411267002667008'
affected_people,'460411380357947392'
disease_transmission,'460411412528254976'
disease_transmission,'460411786454245377'
other_useful_information,'460411786941194240'
affected_people,'460411788098424832'
other_useful_information,'460411813243682816'
disease_signs_or_symptoms,'460411835892908032'
disease_signs_or_symptoms,'460411871192182785'
disease_transmission,'460412225384353792'
disease_transmission,'460412419341574145'
disease_signs_or_symptoms,'460412578012073984'
disease_signs_or_symptoms,'460412971223875586'
deaths_reports,
prevention,'460413274782048256'
affected_people,'460413375629901825'
other_useful_information,'460413434761191426'
prevention,'460413501300035584'
other_useful_information,'460413969682165760'
other_useful_information,'460414620843261952'
affected_people,'460415010024738816'
affected_people,'460415140069126144'
treatment,'460415342032859136'
affected_people,'460415636343361536'
affected_people,'460415826450206720'
not_related_or_irrelevant,'460415900903301120'
other_useful_information,'460415931764981761'
disease_transmission,'460416251810951169'
disease_transmission,'460416267317706752'
prevention,'460416571345620992'
other_useful_information,'460416938867314692'
other_useful_information,'460416963165315072'
affected_people,'460417113887637505'
affected_people,'460417275439611904'
disease_signs_or_symptoms,'460417548475826178'
affected_people,'460417977050218496'
other_useful_information,'460417979616727040'
disease_signs_or_symptoms,'460417989213298688'
disease_transmission,'460417989326540801'
affected_people,'460417989603758080'
other_useful_information,'460418234429104128'
affected_people,'460418240817004544'
not_related_or_irrelevant,'460418508434984960'
other_useful_information,'460418522124795905'
treatment,'460418736235614209'
affected_people,'460418765092831233'
affected_people,'460418766505922560'
disease_transmission,'460419015920218112'
disease_transmission,'460419025504591872'
affected_people,'460419247802687488'
prevention,'460419656948658176'
affected_people,'460419679912476672'
affected_people,'460419731682787328'
disease_transmission,'460420245313060864'
other_useful_information,'460420401802539008'
other_useful_information,'460420457158942721'
other_useful_information,'460420507678949377'
affected_people,'460420608929443841'
other_useful_information,'460420657353076736'
disease_signs_or_symptoms,'460420687082307584'
disease_transmission,'460420872268828673'
deaths_reports,'460420992754397184'
other_useful_information,'460421011507519488'
other_useful_information,'460421238842998784'
affected_people,'460421321722437632'
other_useful_information,'460421806843650050'
affected_people,'460421897348739072'
other_useful_information,'460422530365669376'
disease_transmission,'460422638242762752'
disease_transmission,'460422751166013440'
affected_people,'460422874504130560'
disease_transmission,'460423004271304704'
other_useful_information,'460423752518352897'
other_useful_information,'460424445224812544'
affected_people,'460424451339718657'
affected_people,'460424671419465728'
affected_people,'460424679900348416'
affected_people,'460424803548401664'
affected_people,'460424838814134272'
other_useful_information,'460425063939178496'
prevention,'460425119882416128'
other_useful_information,'460425313206665216'
other_useful_information,'460425374342840320'
treatment,'460425461617528832'
prevention,'460425571705831424'
disease_transmission,'460425840845918208'
disease_transmission,'460426562991820800'
other_useful_information,'460426779799191554'
affected_people,'460426968404873216'
other_useful_information,'460427038831443968'
deaths_reports,'460427112277491713'
affected_people,'460427326501945344'
affected_people,'460427424040488960'
affected_people,'460427436740460545'
prevention,'460427444785135616'
disease_transmission,'460427531712073728'
other_useful_information,'460427539026939904'
other_useful_information,'460427546929025024'
affected_people,'460427648464728065'
prevention,'460427664981893120'
affected_people,'460427721680883712'
other_useful_information,'460427744627916800'
disease_transmission,'460427892661694464'
treatment,'460427911023968257'
disease_transmission,'460427921778552832'
affected_people,'460427928942034944'
prevention,'460427974731251712'
other_useful_information,'460428043476295680'
disease_signs_or_symptoms,'460428217678311425'
