label,tweet_id
infrastructure_and_utilities_damage,'511423101150953472'
injured_or_dead_people,'511423131605430272'
infrastructure_and_utilities_damage,'511423166283935744'
donation_needs_or_offers_or_volunteering_services,'511423208801984512'
infrastructure_and_utilities_damage,'511423209158504448'
displaced_people_and_evacuations,'511423217379332096'
infrastructure_and_utilities_damage,'511423221329969152'
displaced_people_and_evacuations,'511423221363507200'
infrastructure_and_utilities_damage,'511423241173630976'
donation_needs_or_offers_or_volunteering_services,'511423316872417280'
other_useful_information,'511423349470154752'
sympathy_and_emotional_support,'511423376682803200'
infrastructure_and_utilities_damage,'511423422161620992'
caution_and_advice,'511423426318180353'
caution_and_advice,'511423445830496256'
displaced_people_and_evacuations,'511423478554435584'
donation_needs_or_offers_or_volunteering_services,'511423491883933696'
donation_needs_or_offers_or_volunteering_services,'511423528307265536'
infrastructure_and_utilities_damage,'511423528734691328'
infrastructure_and_utilities_damage,'511423563845206016'
infrastructure_and_utilities_damage,'511423573659893760'
donation_needs_or_offers_or_volunteering_services,'511423622288646144'
other_useful_information,'511423626399473664'
displaced_people_and_evacuations,'511423646661754880'
sympathy_and_emotional_support,'511423665406095360'
not_related_or_irrelevant,'511423668027531265'
infrastructure_and_utilities_damage,'511423669357117440'
other_useful_information,'511423703729459200'
displaced_people_and_evacuations,'511423775246942208'
infrastructure_and_utilities_damage,'511423814668791808'
infrastructure_and_utilities_damage,'511423820578570240'
other_useful_information,'511423844058685440'
other_useful_information,'511423866590085120'
sympathy_and_emotional_support,'511423869165387777'
caution_and_advice,'511423889071558656'
infrastructure_and_utilities_damage,'511423925801066496'
infrastructure_and_utilities_damage,'511423939138961408'
other_useful_information,'511423963579564032'
sympathy_and_emotional_support,'511424000560336896'
infrastructure_and_utilities_damage,'511424009356206080'
other_useful_information,'511424050263228416'
not_related_or_irrelevant,'511424072732127232'
other_useful_information,'511424079492952065'
donation_needs_or_offers_or_volunteering_services,'511424088795930625'
donation_needs_or_offers_or_volunteering_services,'511424101517230081'
infrastructure_and_utilities_damage,'511424127123480576'
other_useful_information,'511424155506335744'
other_useful_information,'511424178114023426'
infrastructure_and_utilities_damage,'511424181389365248'
sympathy_and_emotional_support,'511424187962261504'
infrastructure_and_utilities_damage,'511424189660925952'
sympathy_and_emotional_support,'511424200876097536'
sympathy_and_emotional_support,'511424204215177216'
other_useful_information,'511424226285588480'
infrastructure_and_utilities_damage,'511424259722604544'
infrastructure_and_utilities_damage,'511424310058049536'
infrastructure_and_utilities_damage,'511424310712344576'
sympathy_and_emotional_support,'511424324528390144'
other_useful_information,'511424340449951744'
other_useful_information,'511424365817499648'
infrastructure_and_utilities_damage,'511424380002631680'
infrastructure_and_utilities_damage,'511424404581269504'
not_related_or_irrelevant,'511424406388621312'
other_useful_information,'511424408158613504'
donation_needs_or_offers_or_volunteering_services,'511424411967422464'
other_useful_information,'511424420800647168'
donation_needs_or_offers_or_volunteering_services,'511424449099206656'
not_related_or_irrelevant,'511424465604186112'
infrastructure_and_utilities_damage,'511424494792376320'
infrastructure_and_utilities_damage,'511424497090834432'
displaced_people_and_evacuations,'511424520750891008'
missing_trapped_or_found_people,'511424529793445888'
infrastructure_and_utilities_damage,'511424531987456000'
missing_trapped_or_found_people,'511424537154449409'
infrastructure_and_utilities_damage,'511424552338214912'
other_useful_information,'511424559556608000'
