tweet_id, tweet_author,label
'511481629932785664',740KVOR,Other relevant information
'511481866415648768',TrackDisney,Caution and advice
'511481898250801152',ATNATTNEWS,Caution and advice
'511482264815800320',harjeetbeharr,Other relevant information
'511482284130959360',IndraPetersons,Other relevant information
'511482289444765696',AskPalmCoast,Not related or irrelevant
'511482511013466112',KE5WLM,Other relevant information
'511484906279415808',zillman,Other relevant information
'511485346962747392',tabbiekatt1,Other relevant information
'511485390432133120',KhatumoFestival,Other relevant information
'511485710374010880',JamieBoothWX,Other relevant information
'511485734327713792',CollectedN,Other relevant information
'511485752266739712',sotexmum,Not related or irrelevant
'511485823041028096',matt_wimberly,Other relevant information
'511485841605423104',JennyDurnan,Sympathy and emotional support
'511485850291830784',WeatherMan_Cam,Other relevant information
'511485940821659649',E_Newsplus,Other relevant information
'511486031741206528',kslweather,Other relevant information
'511486037940383744',glenda_durupt,Other relevant information
'511486115506036736',blkprl66,Other relevant information
'511486153019494401',nobitavampire,Other relevant information
'511486213736628224',MeMyselfandJoh,Caution and advice
'511486236117450752',GeorginaBencsik,Other relevant information
'511486276483420160',Dwill_P4F,Displaced people
'511486318699102209',terrestrialfan,Infrastructure and utilities
'511486371798601728',locomotiondj,Sympathy and emotional support
'511486378039734272',FlagOfChina,Displaced people
'511486459153772544',LAFDtalk,Other relevant information
'511486468330508290',MattHiggins80,Other relevant information
'511486583112220673',Turegberk,Infrastructure and utilities
'511486630088044546',NataliMarmion,Other relevant information
'511486674749390848',mike_harrigan,Sympathy and emotional support
'511486733704122369',newstalk_LL,Displaced people
'511486826818048000',AMHQ,Other relevant information
'511486934665805824',_TAFS,Other relevant information
'511487011908501504',ingmanuelgs,Other relevant information
'511487012767928321',GulfHurricanes,Other relevant information
'511487066719264769',NEWSFolders,Other relevant information
'511487068094988288',TiempoNi,Caution and advice
'511487080665743360',maryatf1,Other relevant information
'511487131198709760',DebraJourdan,Personal updates
'511487204573863936',gothjezebel,Caution and advice
'511487208365494272',China__agent,Other relevant information
'511487234034663424',CraveForNews,Other relevant information
'511487317656502273',decc93,Other relevant information
'511487458379190273',SEGUROINSURANCE,Displaced people
'511487530651615232',FidencioLeija,Displaced people
'511487595789156352',MSCNBC,Other relevant information
'511487623609991168',MichaelLehanSr,Other relevant information
'511487688713977856',TrafficGallon,Other relevant information
'511487814694088704',hurrtrackerapp,Infrastructure and utilities
'511487838727069696',NomadTog,Caution and advice
'511487847250272257',Dudette9t9,Caution and advice
'511487885904990208',SamChampion,Caution and advice
'511487980411060226',MissionExpress,Other relevant information
'511488066326761473',HouckisPokise,Infrastructure and utilities
'511488074048884736',iTravelCabo,Other relevant information
'511488103761330176',YolandaMart,Displaced people
'511488151508893697',journalist_OL,Other relevant information
'511488180671901696',filderstadt_wx2,Other relevant information
'511488323723223040',greentech_blog,Other relevant information
'511488350063431681',cleaner_seas,Other relevant information
'511488427242827776',Ants_SNEweather,Other relevant information
'511488438584225792',chuy_elmalo,Other relevant information
'511488443403481088',elHairoo,Other relevant information
'511488492250365952',mysticredo,Other relevant information
'511488708525449216',SSinArkansas,Personal updates
'511488716343635969',missakalady,Caution and advice
'511488716863332352',lize1982,Displaced people
'511488794517073920',RobinMCouch,Other relevant information
'511488874804047872',JDY65636,Other relevant information
'511488879648456704',HurricaneChanel,Caution and advice
'511488887559311360',stuartsmellie,Caution and advice
'511488899697242112',HurricaneChanel,Caution and advice
'511488937148162048',WOKVNews,Other relevant information
'511489029418659841',voipwxnet,Caution and advice
'511489115666132992',pauldutton1968,Other relevant information
'511489170221461504',rwneilljr,Other relevant information
'511489171832049664',rwneilljr,Other relevant information
'511489194439737345',TNSL31,Other relevant information
'511489216774012928',JulRennecker,Personal updates
'511489301969137664',bomberoscajeme,Other relevant information
'511489482030190592',TheNewsRoundup,Other relevant information
'511489510840889344',heritage1017fm,Other relevant information
'511489516318650368',nbcsandiego,Other relevant information
'511489522660823040',GgNewsCA,Other relevant information
'511489601949540352',stoned_daug,Other relevant information
'511489614629322752',dwix1,Other relevant information
'511489680672825344',Lastcombo,Other relevant information
'511489818099195904',garyaknichols,Sympathy and emotional support
'511489818665435136',Zak_NYCMetroWx,Other relevant information
'511489881646702592',Highlighthwd,Other relevant information
'511490115190149120',wxman_KPSinkler,Other relevant information
'511497045795151872',vidistar,Caution and advice
'511497157321302016',reginap81789323,Displaced people
'511497195234000896',StateInsUSA,Caution and advice
'511497421244092416',KyleKalbfleisch,Other relevant information
'511497621853048832',Aaron_meet,Other relevant information
'511497917870272512',dnanto78,Other relevant information
'511498785151647744',RSSDaily,Other relevant information
'511499284223496192',tweetnewsfeeds,Other relevant information
'511499714051989504',toosanHoshi,Other relevant information
'511500648752226304',lybr3,Sympathy and emotional support
'511500969591709696',BatyandAssoc,Other relevant information
'511501196948144128',a_certain_woman,Sympathy and emotional support
'511501464607281152',feedsynbot,Other relevant information
'511501666454355969',ross917,Other relevant information
'511501810293420032',dawnmgillan,Other relevant information
'511502193384783872',SCOAMT,Sympathy and emotional support
'511502518707556352',Hello_Jody,Not related or irrelevant
'511502577725620224',ShondaCampbell,Sympathy and emotional support
'511502868319571968',kirad6,Sympathy and emotional support
'511503001513906176',FernandaZeno,Infrastructure and utilities
'511503033365049344',PamUSVI,Sympathy and emotional support
'511503396491116545',HillbillyTimes,Infrastructure and utilities
'511503732031623170',JeremyAbell1,Caution and advice
'511504955421646851',MarshaNikki,Other relevant information
'511504981837348864',DanNafis,Other relevant information
'511505880668700673',VideoTweets247,Other relevant information
'511506035295932416',RaynniereM,Caution and advice
'511517955167756289',justsalaheddine,Other relevant information
'511530880880234497',TurtleWoman777,Other relevant information
'511534231114510336',latinusnews,Other relevant information
'511537264183508992',NBTWT,Other relevant information
'511538673020854272',FartingGoose,Infrastructure and utilities
'511539214689656835',CatastropheNews,Infrastructure and utilities
'511539422417137664',rboblee,Caution and advice
'511539474124128257',TehLADailyNews,Other relevant information
'511539693926629376',click2scream1,Other relevant information
'511540361324687360',KadeWade88,Other relevant information
'511541675370369024',annerobicheaux,Other relevant information
'511542815097368576',minewsplace,Infrastructure and utilities
'511543100842328064',latimesworld,Caution and advice
'511543346313957376',jim12316,Other relevant information
'511544611718717440',iTravelCabo,Infrastructure and utilities
'511544623336919040',EpochTimesWorld,Caution and advice
'511545273806770178',sulovebug,Not related or irrelevant
'511545402437287936',BCDamericas,Caution and advice
'511545443311177729',world_knews,Other relevant information
'511545838993432577',israel_flash,Caution and advice
'511546008262569985',Tetrisnet,Caution and advice
'511546716160806912',antiinertia,Other relevant information
'511546724842627072',thenewsselector,Other relevant information
'511546773840490496',EmanueleCapurso,Other relevant information
'511547267644686336',GuardianUS,Other relevant information
'511547776304283649',cjbrinton,Sympathy and emotional support
'511548165477388288',imarketreports,Other relevant information
'511548961208139776',halftrash,Other relevant information
'511549533893840896',LocalTels,Other relevant information
'511550264440930304',FernandoPrado4,Other relevant information
'511550316769079296',BajaLisa,Infrastructure and utilities
'511551588570525697',RaynniereM,Caution and advice
'511551984675983360',NewsBreaker,Caution and advice
