tweet_id, tweet_author,label
'577343139096170496',diogenremi,Not physical landslide
'577352932670070785',ErikJohnsonNews,Not physical landslide
'577356625696198656',apatab,Not physical landslide
'577371632936812545',NicolasBideau,Physical landslide
'577379395654008834',NSDRadio,Not physical landslide
'577380840180723712',LyneBorder,Physical landslide
'577388756946255872',MIX_1015_ONAIR,Not physical landslide
'577403817978789889',movievideo1,Not physical landslide
'577417806507032577',Alcofribas_GP,Not physical landslide
'577419801297055744',QruuSh,Not physical landslide
'577420427691175936',2lives_fr,Not physical landslide
'577421595565764608',Nicolas_PAZZANO,Not physical landslide
'577422227836137472',catnatnet,Physical landslide
'577423071650414592',ConsoAlerte,Not physical landslide
'577424235674480640',TicketChatterCO,Not physical landslide
'577427158492135426',marinacarmelo6,Not physical landslide
'577428153733353473',KLFGB,Physical landslide
'577431634338799616',Soul_Brotha,Not physical landslide
'577431933887639552',BrevesAuFeminin,Not physical landslide
'577441698122432512',thisiselomak,Not physical landslide
'577441738614263808',dannijeanlouis,Not physical landslide
'577645651523215360',Essacalcul,Not physical landslide
'577645984089505792',AvalancheJA,Not physical landslide
'577647909098921984',fuckzdirection,Not physical landslide
'577653681824346112',AbdouSall,Not physical landslide
'577655370484723713',Romi12i,Not physical landslide
'577659527908040704',GenevaForeign,Not physical landslide
'577665014095605761',pinasanson,Not physical landslide
'577669326234320896',KrissyXPorn,Not physical landslide
'577670502027689985',tonyollersbabe,Not physical landslide
'577704555326128128',KrissyXPorn,Not physical landslide
'577716323150598144',VillageDanceMp3,Not physical landslide
'577723821865766912',NRJLeHavre,Not physical landslide
'577735060381655041',Toolito,Not physical landslide
'577737693263753216',LaurentBrayard,Not physical landslide
'577747095324606465',millanajamilla4,Not physical landslide
'577751572458942464',Nicolas_Miliani,Not physical landslide
'577758239892209664',Chatel_Officiel,Not physical landslide
'577760886275895297',schauffler1,Not physical landslide
'577761950756548608',NYCbulletin,Not physical landslide
'578768747080654848',isabelleklea14,Not physical landslide
'578769229408768000',nhlgoalbot,Not physical landslide
'578769246378934272',NHLTweetZone,Not physical landslide
