tweet_id, tweet_author,label
'460397492329521152',gccPoliitics,Not related to crisis
'460398364228874240',Marinamas,Informative
'460398400970575872',Fla_Medic,Informative
'460398461972541440',ventorvalerie,Personal only
'460398555329331200',rajagashe,Informative
'460399646729601024',gc_narayan,Informative
'460400130273730561',Swa7227,Not related to crisis
'460403550799945728',marla_arreza,Personal only
'460404012022771713',TvideoNet,Informative
'460404886882885632',143SkinnyBunny,Informative
'460405480834080769',sineumann1,Informative
'460406831647850496',ronjul1999,Informative
'460406930742063107',PressTV,Informative
'460408961028456448',gmggranger,Informative
'460409457361428481',iiSherry,Informative
'460409857313492992',FluTrackers,Informative
'460410703774769153',maheen20032014,Personal only
'460412419341574145',Crof,Informative
'460413274782048256',Coronavirinae,Informative
'460417977050218496',Crof,Informative
'460420507678949377',Hurshal,Informative
'460420992754397184',myungjihong,Informative
'460421011507519488',HelenBranswell,Informative
'460422638242762752',amaclach,Personal only
'460422874504130560',SheikhCJ,Informative
'460423004271304704',AhmedBaloch17,Informative
'460423752518352897',makoto_au_japon,Informative
'460424445224812544',paulaojo,Informative
'460424451339718657',dytia_aurinh,Personal only
'460425313206665216',Gesundheit_Top,Informative
'460425374342840320',irresistibleOne,Informative
'460425461617528832',GANDAbu,Personal only
'460425571705831424',STcom,Informative
'460426562991820800',AlertNet,Informative
'460426779799191554',maria_ressa,Informative
'460427744627916800',Crof,Informative
'460428043476295680',g__sim,Informative
'460429314438074370',dspalten,Informative
'460429463994793985',accpchest,Informative
'460429598707429376',guidestone33,Informative
'460429794799124481',ActivistBowen2,Informative
'460430111662039041',healthcaresense,Informative
'460430120281321472',normangat,Informative
'460431689861173249',xtinahz,Personal only
'460433091312365568',1fid,Personal only
'460433743401189376',alsaeedi68,Informative
'460434019406999552',janbear47,Informative
'460435253958438912',DTNWorldNews,Informative
'460435259377479681',makoto_au_japon,Informative
'460435337240510464',Alan_02RD,Informative
'460435469726019586',followers_show,Informative
'460435738526367745',TheCairoPost,Informative
'460436029468467200',Hanjezzi,Personal only
'460436267071598592',iron_light,Informative
'460437739700510720',aboo_ali2010,Informative
'460438219989856258',CarReviews7,Informative
'460438344208777216',coamskhamisph,Informative
'460438523804254208',WorldHealthNews,Informative
'460439803566116865',DTNHealth,Informative
'460439811744997377',DrZohaFarooq,Informative
'460440144915353600',OTGNCanada,Informative
'460440336163438592',Axonotmesis,Informative
'460441249862803457',governn1,Informative
'460443300982710273',shlomo1961,Informative
'460443528729198592',Vida_y_Ciencia,Informative
'460444343091081216',CAllstadt,Informative
'460445987149193216',Laurie_Garrett,Informative
'460446209304313856',jamesgreid,Informative
'460446753679216640',MERS_inSAUDI,Informative
'460447744726167552',MERS_inSAUDI,Informative
'460448130404610048',Times0ftheSigns,Informative
'460448290278866947',rikheller,Informative
'460448319014043648',freefolkpress,Informative
'460448364765908994',Live_H9N2,Informative
'460448540402413569',Arab_News,Informative
'460448694001627136',Yusuuf87,Informative
'460448897950044160',Laurie_Garrett,Informative
'460448983911915520',travinaround04,Informative
'460449403439157248',Nawaf_ALEgla,Informative
'460451278511177728',Laurie_Garrett,Informative
'460451334487945216',mike1029,Informative
'460452149382889472',WaferGen,Informative
'460454074643906560',AP_VideoAlert,Informative
'460454901844557824',AP_VideoAlert,Informative
'460455236122198016',Laurie_Garrett,Informative
'460455637487333376',pebekybegeqi,Informative
'460455904232886273',Flu_alert,Informative
'460456319141421057',_Natacholagrasa,Informative
'460457349187371009',sheeraf,Informative
'460457570285920256',ErichMarkert,Informative
'460458468550639616',ONC_HealthIT,Informative
'460461069312745472',MERS_inSAUDI,Informative
'460461213604798464',BiostatX,Informative
'460462238285840385',rsbellmedia,Not related to crisis
'460462338664316929',indagandoTV,Informative
'460462562342346752',CatholicLisa,Informative
'460462775962468352',The_Mughal_EZ,Informative
'460463463874457601',pandemie6,Informative
'460463602332626944',HelenBranswell,Informative
'460484627875241984',rabarg,Informative
'460485574814478337',FluTrackers,Informative
'460486305063763968',tsuliena,Informative
'460486414480572417',Laurie_Garrett,Informative
'460487381548670976',Fla_Medic,Informative
'460487831530799104',Academia_SA,Informative
'460488079623471104',greystockton,Informative
'460488785558396928',DrOmarkhalil,Informative
'460489203173064704',DrOmarkhalil,Informative
'460490364613185537',FluTrackers,Informative
'460490708046983170',biocura,Informative
'460491275880255490',BrindusaB1,Informative
'460491788264812544',shse69,Informative
'460492006716747776',ironorehopper,Informative
'460492029697748992',dspalten,Informative
'460492188703404035',ironorehopper,Informative
'460492550944460800',ironorehopper,Informative
'460492629105324034',rakesh0612,Informative
'460492653306470400',rakesh0612,Informative
'460493002423545856',ironorehopper,Informative
'460493702276730881',Fla_Medic,Informative
'460493837702402049',bna_en,Informative
'460494517452689408',DR_SHAHID,Informative
'460494950980145152',RT3BAHRAIN,Informative
'460495141321461760',iarabnews,Informative
'460496246336004098',gulf_news,Informative
'460497151613599744',TataTongo,Informative
'460497775528923138',filmchenelle77,Informative
'460498207575769088',adel_er,Informative
'460575624617144321',FrancesMcC47,Personal only
'460619559628578817',MackayIM,Personal only
'460621724329840640',MikeArgi,Informative
'460622699086094337',heymolly,Informative
'460625026220564480',maiamajumder,Not related to crisis
'460626534194106368',DailyHemo,Informative
'460629677523337216',bworldph,Informative
'460629714965499904',dspalten,Informative
'460632548369252352',Faisal_Rayan,Informative
'460639516001193984',klattalexis,Informative
'460644577553432576',Crof,Informative
'460645415184908288',vallie,Informative
'460651380076593152',unity737,Informative
'460653157324845056',alexkoueik,Informative
'460654136380231680',independentSL,Informative
'460655690420613120',aamiraltaf,Informative
'460657663643090944',etz_thimy,Informative
'460657761382957056',Rednekked_,Informative
'460662160621064192',jeddaHeart,Informative
'460664101899743232',KeviinWoo991,Personal only
'460678158740504577',First4Training,Informative
'460678279444570112',mohsaqr,Informative
'460678443865493504',OliverDowding,Informative
'460681928572538880',DeemaAlmashabi,Informative
'460682652333256704',hamad13333,Informative
'460683015061258241',Jeslincholasery,Informative
'460683156668944384',MackayIM,Informative
'460683560152604672',Absalam_,Informative
'460684873846755328',OBSintelligence,Informative
'460685579676434432',dickinsonbeth,Personal only
'460685751294779392',ironorehopper,Informative
'460688603728076800',eaglebroadcast,Informative
'460690076758859778',makoto_au_japon,Personal only
'460690615479435264',makoto_au_japon,Informative
'460690822040526848',TheNationalUAE,Informative
'460691021199069184',Hassanam_,Personal only
'460691228430831617',makoto_au_japon,Informative
'460691351726596096',makoto_au_japon,Informative
'460691608086642688',makoto_au_japon,Informative
'460691698784296960',vikpaw,Informative
'460691756091445248',DocFM1,Personal only
'460693530608820224',MizoNews,Informative
'460694844575588352',ISARIC1,Informative
'460695516947689472',SariSabban,Informative
'460695622052372481',ISARIC1,Informative
'460696112555233281',jzzy_bnds,Informative
'460696705017470976',ISARIC1,Informative
'460697471447236608',CBCNews,Informative
'460697642553864192',GlobaHealthNews,Informative
'460697705090519040',TheNationalUAE,Informative
'460699888519770112',Shahad_Alarenan,Not related to crisis
'460700502485774336',ValerieVanorden,Informative
'460700683017404416',Arab_News,Personal only
'460716320380964864',arauf1112,Informative
'460723882786570240',alsha3rd7me,Informative
'460724278640779265',Christiankinch,Personal only
'460724386983464960',_khaleeel,Personal only
'460727097993232384',DocFM1,Not related to crisis
'460730720655507456',MAMakhdoom,Personal only
'460732146059976705',Zawya_,Informative
'460732292671889409',Queen_V1216,Informative
'460732827831922688',Christiankinch,Not related to crisis
'460735388970401792',peartreediaries,Informative
'460743558207508481',vikaspareek,Personal only
'460750714776457216',hamidianuar,Not related to crisis
'460753193488498688',ejahdaly,Informative
'460754072841109504',Neovit_org,Informative
'460755688533557248',filterednews,Informative
'460756234165964800',Savipra,Not related to crisis
'460759093561409536',DrPaulND,Informative
'460762615908536320',Billyummm,Personal only
'460763649779707904',AnalHeq,Personal only
'460766364580343808',LouiseRedvers,Informative
'460767707646812160',RonaWasHere,Informative
'460769229877571584',MedicalWire,Informative
'460769318800588800',MackayIM,Informative
'460769990137102336',Agrungette,Personal only
'460771474039898112',DAHSC,Informative
'460773144152637440',eiyo_kenko,Informative
'460777884055920640',canadacomHealth,Informative
'460785083344224256',tomwoods55,Informative
'460788379680919553',Pirate_News_,Not related to crisis
'460789160601980928',IINANews_En,Informative
'460794650228695040',ParaDiddle7,Informative
'460796207338885120',toninamarasco,Personal only
'460797929083510785',cee_keiC,Not related to crisis
'460802307161333761',APHL,Informative
'460802925842165760',CII_Columbia,Informative
'460802933378924544',Shelshand,Informative
'460803256524873728',pharma_global,Informative
'460803737259241472',tpshiek,Informative
'460804186112679936',EcoMom87,Informative
'460804205973078016',WorldNewsEU,Informative
'460804821310644225',HealthNewsHQ,Informative
'460804978811351041',freedomforthwin,Informative
'460804979838554113',adrianslew,Informative
'460958530917257216',saraizaty,Personal only
'460972827051450368',doydoydoyland,Informative
'460973327704539137',Goombitteh,Informative
'460975026179956737',hniman,Informative
'460976965793484800',GenXFiles,Informative
'460983772645584896',leonbakhan,Informative
'460988754409172993',gmanews,Informative
'460990569691746304',Lyel021,Informative
'460991405025144832',kuirab,Informative
'460997687211331584',amikarakal,Informative
'461002477161447424',Leesh300,Personal only
'461005118041624576',MedlineDubai,Informative
'461018745154973696',AlOtaiba_M,Informative
'461029010135212032',ImBgel,Personal only
'461031830901497856',SGnews,Informative
'461045472551907328',dspalten,Personal only
'461046533698646016',Othmanbay,Personal only
'461055388700655616',teuingsiah,Personal only
'461056420772052993',hasta_uk,Not related to crisis
'461060582049714176',DHHNews,Informative
'461060973928148992',QuantoAstronom,Informative
'461061607120834561',NewsForPh,Informative
'461061765011607552',WorldMeetsEarl,Informative
'461062262619267073',peduli_sehat,Informative
'461062285197586432',PhilippinesAgen,Informative
'461062313357754369',medindiaseo2012,Informative
'461063887048429569',pebawards,Not related to crisis
'461065959768600576',edrybicki,Informative
'461066589882699776',mykadoodledoo,Personal only
'461068674858631168',DonBarruela,Personal only
'461070913471926272',Kimmistryy,Personal only
'461073049870413824',BlueMarbleTimes,Informative
'461076448531320833',paompedupkickss,Not related to crisis
'461077182979129344',jeeycoo,Not related to crisis
'461079071523233792',youknowdwayne,Personal only
'461080306544807938',kakape,Informative
'461085507170996224',DoseNext,Informative
'461091844990832640',solartvnews,Informative
'461092865804750849',justKHAEding,Personal only
'461096014393266176',dyslecsic,Personal only
'461096681547640832',Rayjetology,Not related to crisis
'461099533103943680',7016yes,Not related to crisis
'461099869524881408',Eeelmooooo,Personal only
'461103311400099840',PIAalerts,Informative
'461104325465751552',khanabdulnasir,Personal only
'461109798583296000',mookies_groove,Informative
'461110178457214977',agpolicywonk,Informative
'461110626879029248',oshiafzal,Informative
'461110755291856896',phemmytweetz,Informative
'461112738861678593',Beahatii,Informative
'461112909108903936',maggiemfox,Informative
'461116174525140993',Kallachuchii,Not related to crisis
'461117583719026688',mykadoodledoo,Personal only
'461120014351736832',BonjourCzarina,Informative
'461122487875403778',Criaryy,Personal only
'461122723654037504',eldahshan,Informative
'461124886337826816',Amanieyes,Informative
'461127437200273409',jlgonzaga07,Personal only
'461129158715015168',MERS_inSAUDI,Informative
'461132285815713792',Alex_Smith_Ants,Personal only
'461132678561939458',KimiWhitfield,Personal only
'461134206853468160',Shiimushi,Personal only
'461135829453115392',itsmelarzmay,Informative
'461139313137184768',reahdeita,Personal only
'461142314950615041',SheosArmy,Personal only
'461147512938954752',EpsteinJon,Informative
'461148975337578496',okikesa,Informative
'461149974185529344',HEALTH____,Informative
'461150821829197825',sqwerin,Informative
'461150872995909632',ASTHO,Informative
'461151434096914433',kimmcdt,Personal only
'461151906921201664',HerbalPrepper,Informative
'461152068791582721',msmithMPT,Informative
'461152364796588032',BalitaNgayon,Informative
'461152399617298432',EcoHealthNYC,Informative
'462895019175591937',AswinSiNat,Informative
'462908431779631104',rubeccawyx,Informative
'462917484463403008',voxexevule,Informative
'474062089758076928',bamaresc,Personal only
'474063643101765632',HelenBranswell,Personal only
'474065454743289856',MicrobesInfect,Informative
'474072984076832768',Kipp_Report,Informative
'474096203164954625',abdulbasit2639,Informative
'474111146837151744',itsfacetious_,Not related to crisis
'474117504264966144',pudyvetu,Informative
'474117505451974656',pudyvetu,Informative
'474122023254634497',7thSpaceCom,Informative
'474123033443966976',iTweetBalita,Informative
'474123824363888640',Miss_M7,Informative
'474161566141906945',instaweightloss,Informative
'474161780202418178',health4news,Informative
'474163071431495680',WHO,Informative
'474164208792518656',rxeur,Informative
'474167966347837440',drkomanduri,Informative
'474168381801635840',raadalso,Informative
'474169842325413888',john_kerry1,Informative
'474170948099121152',Beauty_nnHealth,Informative
'474172268684509184',GSSHealth,Not related to crisis
'474173001525497858',gmggranger,Personal only
'474173854785359872',newsmanitoba_ca,Informative
'474173966991380480',MedAnthDoc,Informative
'474174576721539074',Crof,Not related to crisis
'476558139048087552',xhamstermobile,Informative
'476558172451123200',opedja3,Informative
'476573662930165762',An_Afromind,Informative
'476574647505653761',rapplerdotcom,Informative
'476574771560194049',hniman,Informative
'476574918604115968',hniman,Informative
'476575412626014208',im_cedrick,Informative
'476576015037116416',EthiopiaOnline,Informative
'476602681394360320',IAm_Yaxxy,Informative
'476603713382273024',rawdietreviews,Informative
'476620351821320192',TwadioShow,Informative
'476620642197184513',HelenBranswell,Informative
'476625235501142016',TheBTEGv,Informative
'476632442858917888',StephenEdema,Informative
'476632834690785280',dre_arteta,Informative
'476647666604965888',NiliMajumder,Informative
'476649315377893376',primebank,Informative
'476665551066910720',arunviro,Informative
'476666124600217600',Moroccantimes,Informative
'476666161208496128',WHO,Informative
'477014089420791808',IndyNurseMag,Personal only
'477016178582237184',airkulet,Informative
'488647320503083008',Cost2Build_UK,Not related to crisis
'488647321547440129',stevewebbmodels,Not related to crisis
'488647333887094784',AdhereTraining,Not related to crisis
'488647336596217857',caninecultureuk,Not related to crisis
'488647337405722624',MolviDisco,Not related to crisis
'488647343068041217',AndyMurrayNews2,Not related to crisis
'488681124105691136',NaomiBreslin,Not related to crisis
'488681124705480704',jeepster1music,Not related to crisis
'488681125556936704',Andyweller65,Not related to crisis
'488681127217868800',TheExeterDaily,Not related to crisis
'488681130133315584',BooksOnTheKnob,Not related to crisis
'488681131920064513',stevekuriigamba,Not related to crisis
'488681139062575104',jaleibi,Not related to crisis
'488681140836765696',shahrinaahmed,Not related to crisis
'488681144100331521',Careworx,Not related to crisis
'488681144766853121',pcpuk,Not related to crisis
'488681145249579008',CaptainJimDandy,Not related to crisis
'488681148009422848',B2BHour,Not related to crisis
'488681152551878656',debcha,Not related to crisis
'488710643038433280',CarlRadbunny,Not related to crisis
