label,tweet_id
injured_or_dead_people,'508332154271461376'
donation_needs_or_offers_or_volunteering_services,'508332173532073985'
other_useful_information,'508332177608568832'
injured_or_dead_people,'508332184613027840'
donation_needs_or_offers_or_volunteering_services,'508332187448401920'
donation_needs_or_offers_or_volunteering_services,'508332198714294272'
caution_and_advice,'508332211821490176'
other_useful_information,'508332237591293952'
donation_needs_or_offers_or_volunteering_services,'508332247867355136'
sympathy_and_emotional_support,'508332247900901376'
injured_or_dead_people,'508332262317113345'
donation_needs_or_offers_or_volunteering_services,'508332271381008384'
donation_needs_or_offers_or_volunteering_services,'508332273280622592'
sympathy_and_emotional_support,'508332276032487426'
donation_needs_or_offers_or_volunteering_services,'508332287524499456'
donation_needs_or_offers_or_volunteering_services,'508332291190689792'
caution_and_advice,'508332314561376256'
other_useful_information,'508332328004091904'
injured_or_dead_people,'508332338988601344'
other_useful_information,'508332340817719296'
injured_or_dead_people,'508332342176677888'
injured_or_dead_people,'508332342717325312'
injured_or_dead_people,'508332350187397120'
other_useful_information,'508332364867829760'
other_useful_information,'508332370202591232'
sympathy_and_emotional_support,'508332371192467456'
sympathy_and_emotional_support,'508332372027125760'
missing_trapped_or_found_people,'508332372069064704'
other_useful_information,'508332375772647424'
other_useful_information,'508332384572694528'
missing_trapped_or_found_people,'508332396911923202'
other_useful_information,'508332409847549953'
infrastructure_and_utilities_damage,'508332410631487488'
donation_needs_or_offers_or_volunteering_services,'508332411315167232'
other_useful_information,'508332422765613056'
donation_needs_or_offers_or_volunteering_services,'508332439756754944'
donation_needs_or_offers_or_volunteering_services,'508332473583808512'
displaced_people_and_evacuations,'508332477140590592'
missing_trapped_or_found_people,'508332478226919424'
missing_trapped_or_found_people,'508332488599425024'
injured_or_dead_people,'508332489215979520'
donation_needs_or_offers_or_volunteering_services,'508332502600015872'
donation_needs_or_offers_or_volunteering_services,'508332506349711360'
sympathy_and_emotional_support,'508332510950862848'
missing_trapped_or_found_people,'508332514180866048'
donation_needs_or_offers_or_volunteering_services,'508332520103243776'
injured_or_dead_people,'508332524200673281'
donation_needs_or_offers_or_volunteering_services,'508332534464118784'
other_useful_information,'508332538608111616'
other_useful_information,'508332549643726848'
missing_trapped_or_found_people,'508332561332846593'
injured_or_dead_people,'508332570501971968'
sympathy_and_emotional_support,'508332572091613184'
donation_needs_or_offers_or_volunteering_services,'508332572988813312'
injured_or_dead_people,'508332579150254081'
injured_or_dead_people,'508332593470005248'
other_useful_information,'508332595268947969'
other_useful_information,'508332595566739456'
injured_or_dead_people,'508332607675695104'
missing_trapped_or_found_people,'508332612855685120'
missing_trapped_or_found_people,'508332623928639488'
donation_needs_or_offers_or_volunteering_services,'508332632908652544'
donation_needs_or_offers_or_volunteering_services,'508332642014478336'
other_useful_information,'508332644598177792'
displaced_people_and_evacuations,'508332651527553024'
injured_or_dead_people,'508332653615927296'
other_useful_information,'508332654383865856'
sympathy_and_emotional_support,'508332659085303808'
donation_needs_or_offers_or_volunteering_services,'508332660662337536'
other_useful_information,'508332668878987264'
other_useful_information,'508332676101984256'
donation_needs_or_offers_or_volunteering_services,'508332686763515905'
other_useful_information,'508332715121201152'
sympathy_and_emotional_support,'508332732900859904'
displaced_people_and_evacuations,'508332742879105025'
other_useful_information,'508332749929725952'
other_useful_information,'508332750038761473'
other_useful_information,'508332752916078592'
other_useful_information,'508332776198639616'
displaced_people_and_evacuations,'508332788152811520'
other_useful_information,'508332809295912960'
donation_needs_or_offers_or_volunteering_services,'508332811359485953'
other_useful_information,'508332815310520320'
other_useful_information,'508332828396777472'
other_useful_information,'508332834327904258'
donation_needs_or_offers_or_volunteering_services,'508332834508242944'
other_useful_information,'508332840682270720'
displaced_people_and_evacuations,'508332862106771456'
other_useful_information,'508332869345751042'
other_useful_information,'508332882595573760'
displaced_people_and_evacuations,'508332886819631104'
other_useful_information,'508332886995374080'
donation_needs_or_offers_or_volunteering_services,'508332890338238465'
donation_needs_or_offers_or_volunteering_services,'508332890518614016'
other_useful_information,'508332905035079680'
other_useful_information,'508332919249960960'
infrastructure_and_utilities_damage,'508332927349161984'
not_related_or_irrelevant,'508332927935987712'
sympathy_and_emotional_support,'508332928817192960'
other_useful_information,'508332930700419072'
other_useful_information,'508332937461248000'
other_useful_information,'508332944432566272'
other_useful_information,'508332959385272320'
injured_or_dead_people,'508332960421249024'
injured_or_dead_people,'508332969032175617'
infrastructure_and_utilities_damage,'508332981232996354'
displaced_people_and_evacuations,'508332983787335680'
not_related_or_irrelevant,'508332997246844928'
donation_needs_or_offers_or_volunteering_services,'508333000745316352'
injured_or_dead_people,'508333001688641536'
displaced_people_and_evacuations,'508333006973456384'
missing_trapped_or_found_people,'508333027391717376'
injured_or_dead_people,'508333031602798592'
donation_needs_or_offers_or_volunteering_services,'508333038892097536'
other_useful_information,'508333040125227008'
donation_needs_or_offers_or_volunteering_services,'508333042851930113'
other_useful_information,'508333046924193792'
donation_needs_or_offers_or_volunteering_services,'508333071213400065'
infrastructure_and_utilities_damage,'508333086812409856'
infrastructure_and_utilities_damage,'508333089471610881'
infrastructure_and_utilities_damage,'508333090008481792'
missing_trapped_or_found_people,'508333100137725952'
donation_needs_or_offers_or_volunteering_services,'508333105204051968'
donation_needs_or_offers_or_volunteering_services,'508333105573154816'
donation_needs_or_offers_or_volunteering_services,'508333134321299456'
donation_needs_or_offers_or_volunteering_services,'508333137030418432'
displaced_people_and_evacuations,'508333146496958465'
other_useful_information,'508333166403149824'
missing_trapped_or_found_people,'508333172807839744'
injured_or_dead_people,'508333184342163456'
other_useful_information,'508333190746877952'
donation_needs_or_offers_or_volunteering_services,'508333191384416256'
other_useful_information,'508333192156160001'
other_useful_information,'508333192622141440'
other_useful_information,'508333192923721728'
donation_needs_or_offers_or_volunteering_services,'508333198787371008'
injured_or_dead_people,'508333225438367744'
donation_needs_or_offers_or_volunteering_services,'508333233293897729'
sympathy_and_emotional_support,'508333234434760704'
other_useful_information,'508333241745432576'
caution_and_advice,'508333243696185344'
donation_needs_or_offers_or_volunteering_services,'508333243712544768'
displaced_people_and_evacuations,'508333245784539136'
displaced_people_and_evacuations,'508333255272431617'
donation_needs_or_offers_or_volunteering_services,'508333255738003456'
other_useful_information,'508333257797017600'
injured_or_dead_people,'508333261886472192'
other_useful_information,'508333278437208064'
other_useful_information,'508333283348733952'
other_useful_information,'508333292072865792'
missing_trapped_or_found_people,'508333301937868800'
sympathy_and_emotional_support,'508333308216745984'
injured_or_dead_people,'508333331369701376'
other_useful_information,'508333342929199104'
donation_needs_or_offers_or_volunteering_services,'508333348129746945'
missing_trapped_or_found_people,'508333349111603201'
displaced_people_and_evacuations,'508333351355162624'
sympathy_and_emotional_support,'508333356258299904'
other_useful_information,'508333356556517377'
other_useful_information,'508333371114946560'
injured_or_dead_people,'508333385203212288'
donation_needs_or_offers_or_volunteering_services,'508333386600308737'
other_useful_information,'508333386830577664'
other_useful_information,'508333392073883648'
donation_needs_or_offers_or_volunteering_services,'508333397216092160'
donation_needs_or_offers_or_volunteering_services,'508333403289047040'
donation_needs_or_offers_or_volunteering_services,'508333418128502784'
injured_or_dead_people,'508333421735604224'
donation_needs_or_offers_or_volunteering_services,'508333429943853056'
other_useful_information,'508333430283575296'
injured_or_dead_people,'508333441457221632'
donation_needs_or_offers_or_volunteering_services,'508333446876233728'
donation_needs_or_offers_or_volunteering_services,'508333449401229312'
other_useful_information,'508333450169188353'
missing_trapped_or_found_people,'508333460340367361'
other_useful_information,'508333474621575168'
missing_trapped_or_found_people,'508333485007069184'
other_useful_information,'508333488509288449'
caution_and_advice,'508333511762530305'
displaced_people_and_evacuations,'508333516283969536'
other_useful_information,'508333521887170560'
injured_or_dead_people,'508333528950784000'
donation_needs_or_offers_or_volunteering_services,'508333530254811136'
other_useful_information,'508333530791698432'
other_useful_information,'508333548953407488'
other_useful_information,'508333555513303040'
other_useful_information,'508333569232482305'
injured_or_dead_people,'508333591235809280'
injured_or_dead_people,'508333591634640896'
injured_or_dead_people,'508333592020123648'
other_useful_information,'508333607698829312'
displaced_people_and_evacuations,'508333610035085313'
sympathy_and_emotional_support,'508333617031176192'
injured_or_dead_people,'508333617114669056'
injured_or_dead_people,'508333618901426176'
other_useful_information,'508333652292681730'
donation_needs_or_offers_or_volunteering_services,'508333652405911552'
donation_needs_or_offers_or_volunteering_services,'508333655874236416'
missing_trapped_or_found_people,'508333666548723712'
other_useful_information,'508333706143346688'
infrastructure_and_utilities_damage,'508333709062590464'
caution_and_advice,'508333714510970880'
other_useful_information,'508333718885638144'
injured_or_dead_people,'508333725097025536'
sympathy_and_emotional_support,'508333734865543169'
other_useful_information,'508333749403009024'
injured_or_dead_people,'508333749520834560'
other_useful_information,'508333754855616514'
displaced_people_and_evacuations,'508333755463766016'
caution_and_advice,'508333758932467712'
displaced_people_and_evacuations,'508333764146384897'
donation_needs_or_offers_or_volunteering_services,'508333768235438080'
donation_needs_or_offers_or_volunteering_services,'508333774409846784'
other_useful_information,'508333775927791616'
other_useful_information,'508333783234260992'
donation_needs_or_offers_or_volunteering_services,'508333784190578688'
other_useful_information,'508333794395701248'
other_useful_information,'508333801094021121'
donation_needs_or_offers_or_volunteering_services,'508333834279350272'
other_useful_information,'508333836225511424'
displaced_people_and_evacuations,'508333840566599680'
other_useful_information,'508333848560939008'
injured_or_dead_people,'508333857423507456'
donation_needs_or_offers_or_volunteering_services,'508333870324805632'
missing_trapped_or_found_people,'508333874599170048'
other_useful_information,'508333879304798208'
donation_needs_or_offers_or_volunteering_services,'508333879715831808'
injured_or_dead_people,'508333894693687296'
donation_needs_or_offers_or_volunteering_services,'508333895700713472'
sympathy_and_emotional_support,'508333916022128640'
injured_or_dead_people,'508333923886067712'
sympathy_and_emotional_support,'508333935454334976'
injured_or_dead_people,'508333940164550656'
other_useful_information,'508333949290954752'
donation_needs_or_offers_or_volunteering_services,'508333958887518208'
donation_needs_or_offers_or_volunteering_services,'508333975140438016'
other_useful_information,'508333981579112449'
other_useful_information,'508333985651757056'
other_useful_information,'508334018090131456'
not_related_or_irrelevant,'508334018098917376'
displaced_people_and_evacuations,'508334018639564801'
other_useful_information,'508334028118695936'
other_useful_information,'508334035030900736'
other_useful_information,'508334040198701056'
donation_needs_or_offers_or_volunteering_services,'508334045185716224'
donation_needs_or_offers_or_volunteering_services,'508334056040181761'
displaced_people_and_evacuations,'508334067822395392'
other_useful_information,'508334075309195264'
injured_or_dead_people,'508334082250768384'
injured_or_dead_people,'508334088470552576'
other_useful_information,'508334089489756160'
donation_needs_or_offers_or_volunteering_services,'508334102869979137'
other_useful_information,'508334103523893248'
displaced_people_and_evacuations,'508334111170117634'
displaced_people_and_evacuations,'508334113841876992'
other_useful_information,'508334114928218112'
missing_trapped_or_found_people,'508334118380515328'
caution_and_advice,'508334119282298880'
donation_needs_or_offers_or_volunteering_services,'508334126009556993'
sympathy_and_emotional_support,'508334127649525760'
other_useful_information,'508334130182881281'
other_useful_information,'508334130694602752'
donation_needs_or_offers_or_volunteering_services,'508334135531036672'
donation_needs_or_offers_or_volunteering_services,'508334138869702656'
injured_or_dead_people,'508334140119195648'
donation_needs_or_offers_or_volunteering_services,'508334140123389952'
injured_or_dead_people,'508334144254787584'
sympathy_and_emotional_support,'508334152916414464'
donation_needs_or_offers_or_volunteering_services,'508334154719559681'
other_useful_information,'508334156158230528'
displaced_people_and_evacuations,'508334160596201472'
other_useful_information,'508334170200735744'
donation_needs_or_offers_or_volunteering_services,'508334174088859648'
other_useful_information,'508334175754002432'
infrastructure_and_utilities_damage,'508334183379263489'
injured_or_dead_people,'508334188446363648'
other_useful_information,'508334203596197888'
donation_needs_or_offers_or_volunteering_services,'508334205017661440'
donation_needs_or_offers_or_volunteering_services,'508334210004697088'
injured_or_dead_people,'508334218112696322'
donation_needs_or_offers_or_volunteering_services,'508334222952497152'
displaced_people_and_evacuations,'508334229025853440'
other_useful_information,'508334230267772928'
donation_needs_or_offers_or_volunteering_services,'508334234860154882'
infrastructure_and_utilities_damage,'508334248278097921'
donation_needs_or_offers_or_volunteering_services,'508334250341314561'
infrastructure_and_utilities_damage,'508334254174912512'
sympathy_and_emotional_support,'508334268905316352'
donation_needs_or_offers_or_volunteering_services,'508334269039509504'
injured_or_dead_people,'508334271375753216'
infrastructure_and_utilities_damage,'508334287578734592'
injured_or_dead_people,'508334293504884736'
donation_needs_or_offers_or_volunteering_services,'508334302585577472'
caution_and_advice,'508334302665658368'
not_related_or_irrelevant,'508334306184290304'
donation_needs_or_offers_or_volunteering_services,'508334310756081664'
injured_or_dead_people,'508334322081083393'
donation_needs_or_offers_or_volunteering_services,'508334328380551169'
sympathy_and_emotional_support,'508334334814593024'
donation_needs_or_offers_or_volunteering_services,'508334363407159296'
injured_or_dead_people,'508334376661581824'
caution_and_advice,'508334379832057856'
other_useful_information,'508334382529380352'
other_useful_information,'508334387415379969'
displaced_people_and_evacuations,'508334389299011584'
other_useful_information,'508334400866897921'
other_useful_information,'508334406038454272'
donation_needs_or_offers_or_volunteering_services,'508334406671818752'
other_useful_information,'508334425118351360'
donation_needs_or_offers_or_volunteering_services,'508334430457311232'
other_useful_information,'508334439660019713'
missing_trapped_or_found_people,'508334451374702592'
other_useful_information,'508334463692988417'
injured_or_dead_people,'508334464666058752'
caution_and_advice,'508334470010003456'
other_useful_information,'508334470437810176'
other_useful_information,'508334496005881856'
donation_needs_or_offers_or_volunteering_services,'508334503405056000'
other_useful_information,'508334512099434496'
donation_needs_or_offers_or_volunteering_services,'508334517976059904'
not_related_or_irrelevant,'508334523508338688'
donation_needs_or_offers_or_volunteering_services,'508334528947961856'
sympathy_and_emotional_support,'508334531188105216'
other_useful_information,'508334540553592832'
other_useful_information,'508334547411271680'
donation_needs_or_offers_or_volunteering_services,'508334547813924864'
displaced_people_and_evacuations,'508334554629677057'
displaced_people_and_evacuations,'508334556613980162'
injured_or_dead_people,'508334558585290754'
donation_needs_or_offers_or_volunteering_services,'508334564901912576'
missing_trapped_or_found_people,'508334565438791680'
displaced_people_and_evacuations,'508334572463857664'
other_useful_information,'508334573558571008'
sympathy_and_emotional_support,'508334574766551040'
other_useful_information,'508334582421524480'
other_useful_information,'508334612934709249'
donation_needs_or_offers_or_volunteering_services,'508334628068130816'
injured_or_dead_people,'508334637069123584'
sympathy_and_emotional_support,'508334643935182848'
other_useful_information,'508334650490494976'
missing_trapped_or_found_people,'508334652218941440'
caution_and_advice,'508334653803999232'
donation_needs_or_offers_or_volunteering_services,'508334659051454464'
donation_needs_or_offers_or_volunteering_services,'508334664264593408'
donation_needs_or_offers_or_volunteering_services,'508334717729382403'
donation_needs_or_offers_or_volunteering_services,'508334728752410624'
other_useful_information,'508334742509727744'
other_useful_information,'508334746091257857'
donation_needs_or_offers_or_volunteering_services,'508334757533327360'
caution_and_advice,'508334787690766337'
other_useful_information,'508334794594209793'
injured_or_dead_people,'508334797773475841'
other_useful_information,'508334803444178944'
other_useful_information,'508334805503578112'
other_useful_information,'508334807848599553'
donation_needs_or_offers_or_volunteering_services,'508334813216899073'
other_useful_information,'508334815767453696'
displaced_people_and_evacuations,'508334816761114624'
other_useful_information,'508334818212708352'
donation_needs_or_offers_or_volunteering_services,'508334819030618113'
sympathy_and_emotional_support,'508334820737286144'
injured_or_dead_people,'508334824105332736'
other_useful_information,'508334826164736000'
other_useful_information,'508334826185703424'
donation_needs_or_offers_or_volunteering_services,'508334828463611904'
donation_needs_or_offers_or_volunteering_services,'508334829666971648'
injured_or_dead_people,'508334836407234560'
infrastructure_and_utilities_damage,'508334838362165248'
other_useful_information,'508334841340104704'
caution_and_advice,'508334853574504448'
other_useful_information,'508334855403237377'
donation_needs_or_offers_or_volunteering_services,'508334863469277185'
injured_or_dead_people,'508334876093726720'
injured_or_dead_people,'508334890270474240'
other_useful_information,'508334902400405504'
missing_trapped_or_found_people,'508334904422055936'
donation_needs_or_offers_or_volunteering_services,'508334907634900992'
donation_needs_or_offers_or_volunteering_services,'508334918821093376'
sympathy_and_emotional_support,'508334919064371200'
injured_or_dead_people,'508334923023785984'
sympathy_and_emotional_support,'508334930372624384'
infrastructure_and_utilities_damage,'508334931332714497'
other_useful_information,'508334953973940224'
other_useful_information,'508334958205603840'
donation_needs_or_offers_or_volunteering_services,'508334961334550528'
other_useful_information,'508334963024879616'
other_useful_information,'508334968402350080'
other_useful_information,'508334971879030785'
other_useful_information,'508334978481287168'
other_useful_information,'508334991172849664'
caution_and_advice,'508335011737923584'
donation_needs_or_offers_or_volunteering_services,'508335013247459328'
injured_or_dead_people,'508335018075123712'
other_useful_information,'508335033552486401'
missing_trapped_or_found_people,'508335033963147264'
other_useful_information,'508335052590448641'
injured_or_dead_people,'508335054402383873'
sympathy_and_emotional_support,'508335056985661440'
other_useful_information,'508335059292524544'
donation_needs_or_offers_or_volunteering_services,'508335064497659905'
donation_needs_or_offers_or_volunteering_services,'508335067438272512'
injured_or_dead_people,'508335072508784640'
sympathy_and_emotional_support,'508335073872322560'
infrastructure_and_utilities_damage,'508335081027821568'
other_useful_information,'508335086622613505'
other_useful_information,'508335092251365376'
donation_needs_or_offers_or_volunteering_services,'508335095887839232'
donation_needs_or_offers_or_volunteering_services,'508335098500878336'
sympathy_and_emotional_support,'508335099075907585'
donation_needs_or_offers_or_volunteering_services,'508335101692755969'
other_useful_information,'508335107535814656'
other_useful_information,'508335117920923648'
donation_needs_or_offers_or_volunteering_services,'508335119674146816'
injured_or_dead_people,'508335122836238336'
sympathy_and_emotional_support,'508335127479721984'
other_useful_information,'508335131967234048'
missing_trapped_or_found_people,'508335132647112704'
donation_needs_or_offers_or_volunteering_services,'508335133343363072'
other_useful_information,'508335135901884416'
donation_needs_or_offers_or_volunteering_services,'508335152783966208'
displaced_people_and_evacuations,'508335163865321472'
other_useful_information,'508335164800237569'
injured_or_dead_people,'508335164909703168'
infrastructure_and_utilities_damage,'508335166025003008'
donation_needs_or_offers_or_volunteering_services,'508335166054748160'
other_useful_information,'508335174518833152'
injured_or_dead_people,'508335175860645889'
other_useful_information,'508335176460812288'
injured_or_dead_people,'508335183754321921'
donation_needs_or_offers_or_volunteering_services,'508335183914094593'
displaced_people_and_evacuations,'508335188250984448'
other_useful_information,'508335193204088833'
other_useful_information,'508335194277810176'
donation_needs_or_offers_or_volunteering_services,'508335196090138624'
donation_needs_or_offers_or_volunteering_services,'508335211969794049'
other_useful_information,'508335218038558720'
other_useful_information,'508335219410087936'
donation_needs_or_offers_or_volunteering_services,'508335225114329088'
donation_needs_or_offers_or_volunteering_services,'508335229476425728'
caution_and_advice,'508335234752851968'
infrastructure_and_utilities_damage,'508335235398787072'
donation_needs_or_offers_or_volunteering_services,'508335238250905600'
donation_needs_or_offers_or_volunteering_services,'508335241220464640'
missing_trapped_or_found_people,'508335247155814400'
displaced_people_and_evacuations,'508335250779283456'
missing_trapped_or_found_people,'508335265396436993'
other_useful_information,'508335286321831936'
other_useful_information,'508335293426962432'
other_useful_information,'508335296182632448'
donation_needs_or_offers_or_volunteering_services,'508335316684382208'
other_useful_information,'508335322758119424'
displaced_people_and_evacuations,'508335328558473216'
other_useful_information,'508335331460935680'
injured_or_dead_people,'508335340378001408'
sympathy_and_emotional_support,'508335344211599360'
missing_trapped_or_found_people,'508335352650944513'
sympathy_and_emotional_support,'508335381222133760'
other_useful_information,'508335394287411200'
sympathy_and_emotional_support,'508335396317437952'
donation_needs_or_offers_or_volunteering_services,'508335400893812736'
not_related_or_irrelevant,'508335421260963840'
other_useful_information,'508335440215035904'
donation_needs_or_offers_or_volunteering_services,'508335450738929665'
sympathy_and_emotional_support,'508335457671733248'
donation_needs_or_offers_or_volunteering_services,'508335463724105728'
injured_or_dead_people,'508335476609404928'
other_useful_information,'508335477884084224'
not_related_or_irrelevant,'508335484557209600'
sympathy_and_emotional_support,'508335490592813056'
injured_or_dead_people,'508335513493700608'
injured_or_dead_people,'508335520402116609'
other_useful_information,'508335520779231232'
other_useful_information,'508335541767516160'
donation_needs_or_offers_or_volunteering_services,'508335545026498560'
injured_or_dead_people,'508335555521052672'
donation_needs_or_offers_or_volunteering_services,'508335557320003584'
injured_or_dead_people,'508335557903007744'
other_useful_information,'508335562076332032'
injured_or_dead_people,'508335567822942208'
infrastructure_and_utilities_damage,'508335574022123521'
donation_needs_or_offers_or_volunteering_services,'508335581621788672'
other_useful_information,'508335593256808448'
missing_trapped_or_found_people,'508335604443000832'
other_useful_information,'508335605739032576'
donation_needs_or_offers_or_volunteering_services,'508335622390431744'
donation_needs_or_offers_or_volunteering_services,'508335627667243009'
sympathy_and_emotional_support,'508335645878521856'
donation_needs_or_offers_or_volunteering_services,'508335649175269376'
donation_needs_or_offers_or_volunteering_services,'508335652216131584'
displaced_people_and_evacuations,'508335653797376000'
other_useful_information,'508335654674001920'
injured_or_dead_people,'508335657006022656'
infrastructure_and_utilities_damage,'508335665088847872'
injured_or_dead_people,'508335668444286976'
other_useful_information,'508335693899128832'
other_useful_information,'508335701788594176'
other_useful_information,'508335711943012352'
donation_needs_or_offers_or_volunteering_services,'508335714279243776'
other_useful_information,'508335716934615040'
injured_or_dead_people,'508335718624542720'
