label,tweet_id
other_useful_information,'540003786811793408'
not_related_or_irrelevant,'540003796986773504'
not_related_or_irrelevant,'540003797351665664'
caution_and_advice,'540003870131232769'
not_related_or_irrelevant,'540003980076527619'
caution_and_advice,'540004058732306432'
other_useful_information,'540004133265104897'
caution_and_advice,'540004223786565632'
injured_or_dead_people,'540004231344693248'
sympathy_and_emotional_support,'540004277863731200'
sympathy_and_emotional_support,'540004346339938304'
not_related_or_irrelevant,'540004375112843264'
sympathy_and_emotional_support,'540004410894454784'
caution_and_advice,'540004462031421440'
caution_and_advice,'540004462933204992'
not_related_or_irrelevant,'540004464841986048'
other_useful_information,'540004504733622274'
sympathy_and_emotional_support,'540004523452792833'
injured_or_dead_people,'540004553832529920'
caution_and_advice,'540004569430757376'
other_useful_information,'540004575227301889'
other_useful_information,'540004650737364992'
displaced_people_and_evacuations,'540004725748273152'
other_useful_information,'540004783491276800'
injured_or_dead_people,'540004817322536960'
caution_and_advice,'540004869331881984'
caution_and_advice,'540004905558085633'
other_useful_information,'540005035254370305'
sympathy_and_emotional_support,'540005053122093056'
other_useful_information,'540005067311439872'
infrastructure_and_utilities_damage,'540005086559473666'
other_useful_information,'540005106456879104'
not_related_or_irrelevant,'540005142876000256'
sympathy_and_emotional_support,'540005154871717890'
other_useful_information,'540005182294073344'
not_related_or_irrelevant,'540005184252829696'
not_related_or_irrelevant,'540005223339528192'
caution_and_advice,'540005290088103936'
caution_and_advice,'540005291484397568'
caution_and_advice,'540005329137053696'
injured_or_dead_people,'540005399227666432'
caution_and_advice,'540005464767877120'
caution_and_advice,'540005538948337666'
caution_and_advice,'540005564948836352'
other_useful_information,'540005581373710336'
not_related_or_irrelevant,'540005626383192064'
displaced_people_and_evacuations,'540005627204874240'
other_useful_information,'540005633072705536'
sympathy_and_emotional_support,'540005679202066432'
caution_and_advice,'540005717004910592'
other_useful_information,'540005742942490624'
sympathy_and_emotional_support,'540005758276882433'
not_related_or_irrelevant,'540005780372467712'
not_related_or_irrelevant,'540005784587735040'
sympathy_and_emotional_support,'540005825754832896'
other_useful_information,'540005858877669376'
other_useful_information,'540005917535010817'
displaced_people_and_evacuations,'540005956218679296'
displaced_people_and_evacuations,'540006015073144832'
donation_needs_or_offers_or_volunteering_services,'540006047868780544'
not_related_or_irrelevant,'540006105762385920'
sympathy_and_emotional_support,'540006125479804928'
sympathy_and_emotional_support,'540006132572372993'
sympathy_and_emotional_support,'540006139313016832'
other_useful_information,'540006145457684481'
not_related_or_irrelevant,'540006146749517824'
displaced_people_and_evacuations,'540006162721038336'
infrastructure_and_utilities_damage,'540006180991406081'
other_useful_information,'540006208472883200'
infrastructure_and_utilities_damage,'540006240638619648'
other_useful_information,'540006245923831808'
other_useful_information,'540006246766878720'
other_useful_information,'540006285023133696'
other_useful_information,'540006293512024064'
other_useful_information,'540006295630131201'
sympathy_and_emotional_support,'540006348818087937'
displaced_people_and_evacuations,'540006349141073920'
other_useful_information,'540006361908539392'
not_related_or_irrelevant,'540006453709250561'
caution_and_advice,'540006464085979136'
caution_and_advice,'540006468859097088'
other_useful_information,'540006510311792643'
not_related_or_irrelevant,'540006518125371394'
sympathy_and_emotional_support,'540006524047720449'
other_useful_information,'540006542594949120'
other_useful_information,'540006558361325569'
caution_and_advice,'540006583250341888'
caution_and_advice,'540006591206920193'
displaced_people_and_evacuations,'540006594335875072'
sympathy_and_emotional_support,'540006599100596224'
other_useful_information,'540006658408054784'
other_useful_information,'540006667513896960'
donation_needs_or_offers_or_volunteering_services,'540006725118476288'
not_related_or_irrelevant,'540006741820207104'
caution_and_advice,'540006747742539776'
infrastructure_and_utilities_damage,'540006772186955777'
other_useful_information,'540006829263056896'
other_useful_information,'540006836858920960'
caution_and_advice,'540006837437726720'
other_useful_information,'540006863991865345'
other_useful_information,'540006868127449090'
sympathy_and_emotional_support,'540006869666787328'
other_useful_information,'540006896397086720'
other_useful_information,'540006911438233601'
caution_and_advice,'540006923408384000'
not_related_or_irrelevant,'540006925065523200'
other_useful_information,'540006931360776192'
other_useful_information,'540006933919711232'
other_useful_information,'540006997270093824'
injured_or_dead_people,'540007045697527810'
other_useful_information,'540007067465957376'
displaced_people_and_evacuations,'540007071761334272'
other_useful_information,'540007074336624640'
other_useful_information,'540007138093846529'
displaced_people_and_evacuations,'540007164631216130'
infrastructure_and_utilities_damage,'540007202057383937'
displaced_people_and_evacuations,'540007218100195328'
sympathy_and_emotional_support,'540007227885498368'
other_useful_information,'540007250962567168'
caution_and_advice,'540007293228564480'
sympathy_and_emotional_support,'540007293941579776'
other_useful_information,'540007325696659457'
caution_and_advice,'540007327760265216'
caution_and_advice,'540007367727775744'
injured_or_dead_people,'540007393510584320'
not_related_or_irrelevant,'540007401626144768'
displaced_people_and_evacuations,'540007404134756353'
caution_and_advice,'540007494588719104'
not_related_or_irrelevant,'540007502578872320'
other_useful_information,'540007508044038144'
sympathy_and_emotional_support,'540007513253363712'
other_useful_information,'540007516365529088'
other_useful_information,'540007539878813696'
other_useful_information,'540007549139828737'
other_useful_information,'540007555620012033'
other_useful_information,'540007556463071232'
infrastructure_and_utilities_damage,'540007663564640257'
other_useful_information,'540007668929163264'
caution_and_advice,'540007697370730496'
other_useful_information,'540007700185513985'
other_useful_information,'540007722863689730'
injured_or_dead_people,'540007771698376705'
other_useful_information,'540007867516870656'
sympathy_and_emotional_support,'540007869614018560'
other_useful_information,'540007905454342144'
displaced_people_and_evacuations,'540007906532286465'
other_useful_information,'540007967085453312'
infrastructure_and_utilities_damage,'540007969505558528'
other_useful_information,'540007999214202881'
infrastructure_and_utilities_damage,'540008053937295361'
other_useful_information,'540008072630915073'
other_useful_information,'540008140889018368'
not_related_or_irrelevant,'540008163454763008'
other_useful_information,'540008189639417856'
injured_or_dead_people,'540008195482083328'
sympathy_and_emotional_support,'540008222791176193'
caution_and_advice,'540008225689456640'
sympathy_and_emotional_support,'540008280441892864'
other_useful_information,'540008343377440769'
caution_and_advice,'540008351451852801'
not_related_or_irrelevant,'540008365129478144'
donation_needs_or_offers_or_volunteering_services,'540008366894895104'
other_useful_information,'540008409592905728'
sympathy_and_emotional_support,'540008449904365568'
other_useful_information,'540008457231802369'
other_useful_information,'540008486151532545'
sympathy_and_emotional_support,'540008550093705216'
sympathy_and_emotional_support,'540008578807889921'
injured_or_dead_people,'540008592980844544'
not_related_or_irrelevant,'540008605299113984'
other_useful_information,'540008607836696577'
donation_needs_or_offers_or_volunteering_services,'540008631735828482'
other_useful_information,'540008671116525568'
sympathy_and_emotional_support,'540008671757869057'
sympathy_and_emotional_support,'540008684059758592'
caution_and_advice,'540008691764699136'
other_useful_information,'540008699578691584'
other_useful_information,'540008728280305665'
other_useful_information,'540008803341590528'
caution_and_advice,'540008853468090368'
caution_and_advice,'540008876280541184'
other_useful_information,'540008990743068674'
caution_and_advice,'540009013375557633'
not_related_or_irrelevant,'540009019453087744'
sympathy_and_emotional_support,'540009034385195008'
other_useful_information,'540009052307070977'
caution_and_advice,'540009079813316608'
other_useful_information,'540009082116009984'
sympathy_and_emotional_support,'540009091205042176'
other_useful_information,'540009149069672448'
